seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4468.0,-2162.0,4473.0,-5221.0,19424.0,11619.0,-14680.0,0,0,0,NONE,0,2019-06-14T14:30:12.759133
-4463.0,-2163.0,4489.0,-5256.0,19438.0,11611.0,-14661.0,0,0,0,NONE,0,2019-06-14T14:30:13.349164
-4500.0,-2179.0,4515.0,-5221.0,19452.0,11598.0,-14719.0,0,0,0,NONE,0,2019-06-14T14:30:13.896858
-4518.0,-2228.0,4493.0,-5233.0,19417.0,11531.0,-14706.0,0,0,0,NONE,0,2019-06-14T14:30:14.485827
-4472.0,-2158.0,4481.0,-5279.0,19419.0,11581.0,-14752.0,0,0,0,NONE,0,2019-06-14T14:30:15.031688
-4537.0,-2188.0,4462.0,-5302.0,19369.0,11600.0,-14675.0,0,0,0,NONE,0,2019-06-14T14:30:15.622193
-4491.0,-2220.0,4417.0,-5259.0,19413.0,11599.0,-14743.0,0,0,0,NONE,0,2019-06-14T14:30:16.166442
-4475.0,-2160.0,4500.0,-5258.0,19442.0,11559.0,-14706.0,0,0,0,NONE,0,2019-06-14T14:30:16.758369
-4515.0,-2183.0,4570.0,-5223.0,19453.0,11521.0,-14756.0,0,0,0,NONE,0,2019-06-14T14:30:17.302363
-4504.0,-2204.0,4435.0,-5334.0,19433.0,11540.0,-14719.0,0,0,0,NONE,0,2019-06-14T14:30:17.895893
-4459.0,-2220.0,4514.0,-5232.0,19407.0,11538.0,-14826.0,0,0,0,NONE,0,2019-06-14T14:30:18.437664
-4456.0,-2224.0,4532.0,-5274.0,19420.0,11568.0,-14790.0,0,0,0,NONE,0,2019-06-14T14:30:19.030734
-4421.0,-2189.0,4548.0,-5321.0,19470.0,11550.0,-14754.0,0,0,0,NONE,0,2019-06-14T14:30:19.573089
-4380.0,-2194.0,4537.0,-5317.0,19418.0,11500.0,-14796.0,0,0,0,NONE,0,2019-06-14T14:30:20.167088
-4440.0,-2211.0,4522.0,-5338.0,19463.0,11560.0,-14753.0,0,0,0,NONE,0,2019-06-14T14:30:20.708574
-4453.0,-2204.0,4531.0,-5300.0,19482.0,11520.0,-14726.0,0,0,0,NONE,0,2019-06-14T14:30:21.303412
-4411.0,-2220.0,4548.0,-5332.0,19445.0,11501.0,-14758.0,0,0,0,NONE,0,2019-06-14T14:30:21.843904
-4436.0,-2186.0,4561.0,-5348.0,19458.0,11549.0,-14816.0,0,0,0,NONE,0,2019-06-14T14:30:22.439661
-4462.0,-2280.0,4553.0,-5354.0,19495.0,11528.0,-14853.0,0,0,0,NONE,0,2019-06-14T14:30:22.979650
-4477.0,-2238.0,4563.0,-5348.0,19453.0,11509.0,-14825.0,0,0,0,NONE,0,2019-06-14T14:30:23.575929
