seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6196.0,-740.0,3437.0,-3553.0,18251.0,9947.0,-10987.0,0,0,0,NONE,0,2019-06-14T14:25:51.630043
-6203.0,-710.0,3435.0,-3515.0,18273.0,9880.0,-11025.0,0,0,0,NONE,0,2019-06-14T14:25:52.230184
-6199.0,-770.0,3450.0,-3542.0,18311.0,9897.0,-10967.0,0,0,0,NONE,0,2019-06-14T14:25:52.766854
-6149.0,-757.0,3504.0,-3584.0,18256.0,9875.0,-11008.0,0,0,0,NONE,0,2019-06-14T14:25:53.367141
-6212.0,-777.0,3543.0,-3577.0,18281.0,9920.0,-11026.0,0,0,0,NONE,0,2019-06-14T14:25:53.901201
-6167.0,-781.0,3567.0,-3532.0,18249.0,9876.0,-10986.0,0,0,0,NONE,0,2019-06-14T14:25:54.502414
-6150.0,-821.0,3471.0,-3543.0,18246.0,9953.0,-11058.0,0,0,0,NONE,0,2019-06-14T14:25:55.037292
-6136.0,-807.0,3485.0,-3558.0,18325.0,9940.0,-11022.0,0,0,0,NONE,0,2019-06-14T14:25:55.639843
-6171.0,-794.0,3532.0,-3599.0,18212.0,9948.0,-11068.0,0,0,0,NONE,0,2019-06-14T14:25:56.172610
-6179.0,-766.0,3479.0,-3570.0,18288.0,10014.0,-11071.0,0,0,0,NONE,0,2019-06-14T14:25:56.774632
-6103.0,-790.0,3503.0,-3578.0,18298.0,9924.0,-11049.0,0,0,0,NONE,0,2019-06-14T14:25:57.307617
-6059.0,-868.0,3569.0,-3596.0,18322.0,9987.0,-11147.0,0,0,0,NONE,0,2019-06-14T14:25:57.911014
-6177.0,-802.0,3545.0,-3650.0,18331.0,10010.0,-11129.0,0,0,0,NONE,0,2019-06-14T14:25:58.443111
-6162.0,-795.0,3551.0,-3636.0,18293.0,9936.0,-11136.0,0,0,0,NONE,0,2019-06-14T14:25:59.047961
-6118.0,-865.0,3534.0,-3649.0,18322.0,10024.0,-11154.0,0,0,0,NONE,0,2019-06-14T14:25:59.578171
-6122.0,-856.0,3532.0,-3613.0,18335.0,9994.0,-11151.0,0,0,0,NONE,0,2019-06-14T14:26:00.184061
-6125.0,-852.0,3553.0,-3677.0,18358.0,10010.0,-11153.0,0,0,0,NONE,0,2019-06-14T14:26:00.713461
-6116.0,-881.0,3507.0,-3638.0,18341.0,10009.0,-11127.0,0,0,0,NONE,0,2019-06-14T14:26:01.280946
-6125.0,-889.0,3550.0,-3640.0,18359.0,9966.0,-11156.0,0,0,0,NONE,0,2019-06-14T14:26:01.848509
-6127.0,-901.0,3538.0,-3732.0,18375.0,10024.0,-11131.0,0,0,0,NONE,0,2019-06-14T14:26:02.416215
