seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2437.0,-4593.0,3759.0,-405.0,5860.0,3984.0,-2348.0,0,0,0,NONE,0,2019-06-14T12:04:21.390609
-2483.0,-4677.0,3715.0,-378.0,5896.0,4102.0,-2358.0,0,0,0,NONE,0,2019-06-14T12:04:21.925885
-2462.0,-4627.0,3708.0,-438.0,5839.0,4068.0,-2325.0,0,0,0,NONE,0,2019-06-14T12:04:22.527178
-2488.0,-4626.0,3721.0,-508.0,5831.0,4061.0,-2331.0,0,0,0,NONE,0,2019-06-14T12:04:23.061004
-2452.0,-4660.0,3731.0,-420.0,5875.0,4054.0,-2290.0,0,0,0,NONE,0,2019-06-14T12:04:23.663385
-2530.0,-4644.0,3700.0,-490.0,5915.0,4029.0,-2341.0,0,0,0,NONE,0,2019-06-14T12:04:24.196701
-2381.0,-4675.0,3735.0,-405.0,5935.0,4088.0,-2321.0,0,0,0,NONE,0,2019-06-14T12:04:24.799514
-2480.0,-4651.0,3800.0,-484.0,5912.0,4069.0,-2308.0,0,0,0,NONE,0,2019-06-14T12:04:25.334204
-2419.0,-4646.0,3717.0,-460.0,5950.0,4111.0,-2362.0,0,0,0,NONE,0,2019-06-14T12:04:25.935816
-2397.0,-4652.0,3736.0,-455.0,5875.0,4095.0,-2337.0,0,0,0,NONE,0,2019-06-14T12:04:26.467405
-2460.0,-4589.0,3752.0,-481.0,5881.0,4031.0,-2406.0,0,0,0,NONE,0,2019-06-14T12:04:27.071989
-2413.0,-4649.0,3721.0,-467.0,5889.0,4071.0,-2328.0,0,0,0,NONE,0,2019-06-14T12:04:27.602706
-2440.0,-4596.0,3765.0,-488.0,5902.0,4042.0,-2347.0,0,0,0,NONE,0,2019-06-14T12:04:28.170046
-2403.0,-4696.0,3749.0,-456.0,5923.0,4020.0,-2326.0,0,0,0,NONE,0,2019-06-14T12:04:28.737969
-2402.0,-4608.0,3709.0,-469.0,5902.0,4111.0,-2345.0,0,0,0,NONE,0,2019-06-14T12:04:29.344874
-2403.0,-4647.0,3817.0,-465.0,5871.0,4045.0,-2386.0,0,0,0,NONE,0,2019-06-14T12:04:29.872802
-2435.0,-4656.0,3758.0,-464.0,5909.0,4104.0,-2343.0,0,0,0,NONE,0,2019-06-14T12:04:30.480545
-2447.0,-4732.0,3749.0,-471.0,5929.0,4060.0,-2405.0,0,0,0,NONE,0,2019-06-14T12:04:31.008564
-2401.0,-4661.0,3786.0,-489.0,6216.0,4098.0,-2383.0,0,0,0,NONE,0,2019-06-14T12:04:31.617158
-2391.0,-4689.0,3774.0,-476.0,6130.0,4073.0,-2432.0,0,0,0,NONE,0,2019-06-14T12:04:32.143367
