seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4651.0,1441.0,2902.0,-3665.0,7150.0,11297.0,-5925.0,0,0,0,NONE,0,2019-06-14T15:16:17.753564
-4691.0,1420.0,2878.0,-3740.0,7149.0,11399.0,-5870.0,0,0,0,NONE,0,2019-06-14T15:16:18.322551
-4660.0,1461.0,2854.0,-3709.0,7224.0,11373.0,-5924.0,0,0,0,NONE,0,2019-06-14T15:16:18.890460
-4776.0,1428.0,2917.0,-3698.0,7282.0,11396.0,-5942.0,0,0,0,NONE,0,2019-06-14T15:16:19.457430
-4767.0,1472.0,2882.0,-3652.0,7225.0,11407.0,-5899.0,0,0,0,NONE,0,2019-06-14T15:16:20.024440
-4736.0,1447.0,2886.0,-3610.0,7249.0,11424.0,-5985.0,0,0,0,NONE,0,2019-06-14T15:16:20.592851
-4753.0,1417.0,2853.0,-3646.0,7258.0,11405.0,-5999.0,0,0,0,NONE,0,2019-06-14T15:16:21.160563
-4833.0,1389.0,2885.0,-3662.0,7301.0,11468.0,-6035.0,0,0,0,NONE,0,2019-06-14T15:16:21.728468
-4769.0,1450.0,2937.0,-3671.0,7340.0,11431.0,-6038.0,0,0,0,NONE,0,2019-06-14T15:16:22.295924
-4861.0,1437.0,2770.0,-3660.0,7271.0,11526.0,-6089.0,0,0,0,NONE,0,2019-06-14T15:16:22.863131
-4811.0,1415.0,2844.0,-3692.0,7347.0,11460.0,-6022.0,0,0,0,NONE,0,2019-06-14T15:16:23.431360
-4808.0,1383.0,2784.0,-3696.0,7329.0,11491.0,-6036.0,0,0,0,NONE,0,2019-06-14T15:16:23.998111
-4823.0,1382.0,2901.0,-3645.0,7393.0,11429.0,-6089.0,0,0,0,NONE,0,2019-06-14T15:16:24.566254
-4854.0,1374.0,2783.0,-3698.0,7316.0,11472.0,-6085.0,0,0,0,NONE,0,2019-06-14T15:16:25.134206
-4880.0,1392.0,2775.0,-3686.0,7491.0,11505.0,-6066.0,0,0,0,NONE,0,2019-06-14T15:16:25.701114
-4957.0,1308.0,2821.0,-3719.0,7454.0,11545.0,-6104.0,0,0,0,NONE,0,2019-06-14T15:16:26.269141
-4906.0,1356.0,2795.0,-3737.0,7413.0,11539.0,-6132.0,0,0,0,NONE,0,2019-06-14T15:16:26.836913
-4955.0,1357.0,2779.0,-3677.0,7539.0,11566.0,-6114.0,0,0,0,NONE,0,2019-06-14T15:16:27.404786
-4919.0,1327.0,2756.0,-3710.0,7427.0,11570.0,-6123.0,0,0,0,NONE,0,2019-06-14T15:16:27.972315
-4921.0,1359.0,2785.0,-3761.0,7491.0,11603.0,-6134.0,0,0,0,NONE,0,2019-06-14T15:16:28.540213
