seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3753.0,5935.0,4268.0,-859.0,-311.0,-2245.0,-1331.0,0,0,0,NONE,0,2019-06-14T16:23:02.877790
-3757.0,5896.0,4240.0,-953.0,-312.0,-2205.0,-1326.0,0,0,0,NONE,0,2019-06-14T16:23:03.480691
-3817.0,5897.0,4264.0,-856.0,-274.0,-2208.0,-1397.0,0,0,0,NONE,0,2019-06-14T16:23:04.015109
-3754.0,5910.0,4270.0,-936.0,-265.0,-2195.0,-1409.0,0,0,0,NONE,0,2019-06-14T16:23:04.617338
-3821.0,5878.0,4299.0,-956.0,-263.0,-2215.0,-1386.0,0,0,0,NONE,0,2019-06-14T16:23:05.150372
-3753.0,5898.0,4320.0,-926.0,-240.0,-2158.0,-1363.0,0,0,0,NONE,0,2019-06-14T16:23:05.754136
-3771.0,5952.0,4233.0,-891.0,-294.0,-2162.0,-1357.0,0,0,0,NONE,0,2019-06-14T16:23:06.286495
-3732.0,5917.0,4267.0,-916.0,-203.0,-2180.0,-1384.0,0,0,0,NONE,0,2019-06-14T16:23:06.891263
-3760.0,5917.0,4297.0,-976.0,-264.0,-2265.0,-1415.0,0,0,0,NONE,0,2019-06-14T16:23:07.422865
-3768.0,5886.0,4299.0,-959.0,2224.0,-1389.0,0,0,0,NONE,0,2019-06-14T16:23:07.990779
-3806.0,5908.0,4306.0,-948.0,-251.0,-2282.0,-1367.0,0,0,0,NONE,0,2019-06-14T16:23:08.558845
-3752.0,5910.0,4289.0,-985.0,-234.0,-2179.0,-1361.0,0,0,0,NONE,0,2019-06-14T16:23:09.127459
-3729.0,5862.0,4257.0,-938.0,-274.0,-2114.0,-1393.0,0,0,0,NONE,0,2019-06-14T16:23:09.695019
-3749.0,5929.0,4309.0,-978.0,-235.0,-2271.0,-1370.0,0,0,0,NONE,0,2019-06-14T16:23:10.263938
-3725.0,5844.0,4280.0,-971.0,-176.0,-2133.0,-1344.0,0,0,0,NONE,0,2019-06-14T16:23:10.831356
-3723.0,5839.0,4282.0,-955.0,-234.0,-2163.0,-1394.0,0,0,0,NONE,0,2019-06-14T16:23:11.400360
-3734.0,5838.0,4278.0,-982.0,-263.0,-2113.0,-1367.0,0,0,0,NONE,0,2019-06-14T16:23:11.968913
-3739.0,5907.0,4293.0,-944.0,-216.0,-2201.0,-1385.0,0,0,0,NONE,0,2019-06-14T16:23:12.536904
-3711.0,5874.0,4279.0,-954.0,-248.0,-2205.0,-1393.0,0,0,0,NONE,0,2019-06-14T16:23:13.104868
-3723.0,5868.0,4379.0,-963.0,-198.0,-2184.0,-1353.0,0,0,0,NONE,0,2019-06-14T16:23:13.672224
