seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1630.0,5807.0,6281.0,-2291.0,-63.0,-3198.0,-2230.0,0,0,0,NONE,0,2019-06-14T16:00:15.063554
-1649.0,5830.0,6234.0,-2395.0,-36.0,-3212.0,-2255.0,0,0,0,NONE,0,2019-06-14T16:00:15.632764
-1648.0,5826.0,6210.0,-2340.0,0.0,-3178.0,-2177.0,0,0,0,NONE,0,2019-06-14T16:00:16.200907
-1639.0,5797.0,6284.0,-2299.0,-71.0,-3232.0,-2214.0,0,0,0,NONE,0,2019-06-14T16:00:16.767832
-1644.0,5799.0,6159.0,-2350.0,-6.0,-3193.0,-2217.0,0,0,0,NONE,0,2019-06-14T16:00:17.336092
-1596.0,5879.0,6267.0,-2315.0,-84.0,-3265.0,-2207.0,0,0,0,NONE,0,2019-06-14T16:00:17.904067
-1583.0,5806.0,6227.0,-2332.0,-93.0,-3304.0,-2258.0,0,0,0,NONE,0,2019-06-14T16:00:18.472744
-1629.0,5820.0,6248.0,-2381.0,-42.0,-3274.0,-2169.0,0,0,0,NONE,0,2019-06-14T16:00:19.041145
-1661.0,5813.0,6216.0,-2327.0,-57.0,-3286.0,-2178.0,0,0,0,NONE,0,2019-06-14T16:00:19.608124
-1627.0,5806.0,6260.0,-2312.0,-92.0,-3313.0,-2192.0,0,0,0,NONE,0,2019-06-14T16:00:20.178115
-1692.0,5815.0,6256.0,-2244.0,-62.0,-3285.0,-2205.0,0,0,0,NONE,0,2019-06-14T16:00:20.743861
-1604.0,5820.0,6204.0,-2267.0,-80.0,-3354.0,-2192.0,0,0,0,NONE,0,2019-06-14T16:00:21.314958
-1608.0,5794.0,6209.0,-2287.0,-49.0,-3417.0,-2140.0,0,0,0,NONE,0,2019-06-14T16:00:21.880499
-1610.0,5819.0,6206.0,-2300.0,-40.0,-3423.0,-2141.0,0,0,0,NONE,0,2019-06-14T16:00:22.451738
-1653.0,5863.0,6202.0,-2318.0,-38.0,-3308.0,-2206.0,0,0,0,NONE,0,2019-06-14T16:00:23.016060
-1641.0,5769.0,6223.0,-2294.0,4.0,-3388.0,-2166.0,0,0,0,NONE,0,2019-06-14T16:00:23.589459
-1613.0,5821.0,6160.0,-2299.0,-31.0,-3368.0,-2162.0,0,0,0,NONE,0,2019-06-14T16:00:24.151547
-1630.0,5829.0,6236.0,-2314.0,-39.0,-3416.0,-2171.0,0,0,0,NONE,0,2019-06-14T16:00:24.727397
-1634.0,5826.0,6204.0,-2317.0,-81.0,-3377.0,-2156.0,0,0,0,NONE,0,2019-06-14T16:00:25.288452
-1653.0,5807.0,6231.0,-2261.0,-29.0,-3479.0,-2177.0,0,0,0,NONE,0,2019-06-14T16:00:25.862841
