seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3896.0,-1602.0,1023.0,4342.0,2451.0,-1275.0,6052.0,0,0,0,NONE,0,2019-06-14T12:54:07.014922
-3864.0,-1558.0,1085.0,4330.0,2480.0,-1290.0,6017.0,0,0,0,NONE,0,2019-06-14T12:54:07.601511
-3845.0,-1615.0,1123.0,4346.0,2386.0,-1295.0,5986.0,0,0,0,NONE,0,2019-06-14T12:54:08.150045
-3890.0,-1572.0,1137.0,4352.0,2459.0,-1284.0,6011.0,0,0,0,NONE,0,2019-06-14T12:54:08.737494
-3892.0,-1601.0,1109.0,4343.0,2515.0,-1237.0,5975.0,0,0,0,NONE,0,2019-06-14T12:54:09.284641
-3930.0,-1595.0,1114.0,4311.0,2527.0,-1253.0,5921.0,0,0,0,NONE,0,2019-06-14T12:54:09.873407
-3877.0,-1581.0,1126.0,4265.0,2526.0,-1197.0,5909.0,0,0,0,NONE,0,2019-06-14T12:54:10.419526
-3923.0,-1686.0,1188.0,4259.0,2508.0,-1173.0,5879.0,0,0,0,NONE,0,2019-06-14T12:54:11.009343
-3943.0,-1689.0,1179.0,4269.0,2592.0,-1155.0,5854.0,0,0,0,NONE,0,2019-06-14T12:54:11.554269
-3921.0,-1707.0,1186.0,4276.0,2613.0,-1136.0,5817.0,0,0,0,NONE,0,2019-06-14T12:54:12.145303
-3905.0,-1704.0,1133.0,4253.0,2622.0,-1102.0,5869.0,0,0,0,NONE,0,2019-06-14T12:54:12.688968
-3962.0,-1700.0,1191.0,4263.0,2629.0,-1099.0,5782.0,0,0,0,NONE,0,2019-06-14T12:54:13.281130
-3955.0,-1758.0,1127.0,4257.0,2598.0,-1019.0,5738.0,0,0,0,NONE,0,2019-06-14T12:54:13.823963
-4003.0,-1791.0,1204.0,4231.0,2658.0,-1026.0,5796.0,0,0,0,NONE,0,2019-06-14T12:54:14.423000
-3977.0,-1800.0,1217.0,4207.0,2689.0,-1023.0,5764.0,0,0,0,NONE,0,2019-06-14T12:54:14.959164
-3934.0,-1775.0,1137.0,4199.0,2709.0,-1048.0,5815.0,0,0,0,NONE,0,2019-06-14T12:54:15.553662
-4013.0,-1827.0,1184.0,4201.0,2705.0,-961.0,5779.0,0,0,0,NONE,0,2019-06-14T12:54:16.093699
-4014.0,-1849.0,1171.0,4173.0,2757.0,-998.0,5727.0,0,0,0,NONE,0,2019-06-14T12:54:16.689012
-4042.0,-1861.0,1197.0,4245.0,2740.0,-1033.0,5684.0,0,0,0,NONE,0,2019-06-14T12:54:17.228601
-3985.0,-1816.0,1244.0,4177.0,2767.0,-1011.0,5701.0,0,0,0,NONE,0,2019-06-14T12:54:17.825039
