seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5293.0,1229.0,2683.0,-3727.0,7875.0,11954.0,-6419.0,0,0,0,NONE,0,2019-06-14T15:16:40.460202
-5294.0,1246.0,2622.0,-3726.0,7881.0,11937.0,-6453.0,0,0,0,NONE,0,2019-06-14T15:16:41.038699
-5328.0,1155.0,2646.0,-3750.0,7912.0,11972.0,-6464.0,0,0,0,NONE,0,2019-06-14T15:16:41.596612
-5366.0,1174.0,2615.0,-3726.0,7915.0,11989.0,-6452.0,0,0,0,NONE,0,2019-06-14T15:16:42.173269
-5354.0,1198.0,2543.0,-3762.0,7990.0,11992.0,-6443.0,0,0,0,NONE,0,2019-06-14T15:16:42.730795
-5343.0,1140.0,2609.0,-3773.0,7917.0,12048.0,-6471.0,0,0,0,NONE,0,2019-06-14T15:16:43.309483
-5381.0,1107.0,2580.0,-3751.0,7940.0,12019.0,-6552.0,0,0,0,NONE,0,2019-06-14T15:16:43.866997
-5344.0,1124.0,2598.0,-3787.0,8002.0,12052.0,-6559.0,0,0,0,NONE,0,2019-06-14T15:16:44.446046
-5372.0,1052.0,2529.0,-3767.0,7948.0,12064.0,-6554.0,0,0,0,NONE,0,2019-06-14T15:16:45.001873
-5403.0,1104.0,2577.0,-3776.0,7990.0,12075.0,-6549.0,0,0,0,NONE,0,2019-06-14T15:16:45.581890
-5410.0,1118.0,2560.0,-3754.0,8025.0,12090.0,-6586.0,0,0,0,NONE,0,2019-06-14T15:16:46.136423
-5420.0,1072.0,2569.0,-3725.0,8068.0,12043.0,-6579.0,0,0,0,NONE,0,2019-06-14T15:16:46.718628
-5436.0,1062.0,2525.0,-3746.0,8032.0,12144.0,-6643.0,0,0,0,NONE,0,2019-06-14T15:16:47.274046
-5466.0,1064.0,2502.0,-3743.0,8074.0,12098.0,-6643.0,0,0,0,NONE,0,2019-06-14T15:16:47.855463
-5520.0,1054.0,2520.0,-3812.0,8103.0,12121.0,-6614.0,0,0,0,NONE,0,2019-06-14T15:16:48.407769
-5471.0,1022.0,2572.0,-3747.0,8097.0,12101.0,-6657.0,0,0,0,NONE,0,2019-06-14T15:16:48.991570
-5494.0,1072.0,2497.0,-3764.0,8067.0,12100.0,-6720.0,0,0,0,NONE,0,2019-06-14T15:16:49.543800
-5528.0,1077.0,2523.0,-3710.0,8094.0,12133.0,-6686.0,0,0,0,NONE,0,2019-06-14T15:16:50.128289
-5577.0,1093.0,2529.0,-3742.0,8166.0,12163.0,-6690.0,0,0,0,NONE,0,2019-06-14T15:16:50.678276
-5532.0,1049.0,2558.0,-3727.0,8132.0,12180.0,-6748.0,0,0,0,NONE,0,2019-06-14T15:16:51.264861
