seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5095.0,6084.0,3533.0,-748.0,-851.0,-2722.0,739.0,0,0,0,NONE,0,2019-06-14T16:44:08.408238
-5103.0,6082.0,3534.0,-718.0,-775.0,-2633.0,753.0,0,0,0,NONE,0,2019-06-14T16:44:08.975980
-5122.0,6139.0,3496.0,-750.0,-777.0,-2722.0,766.0,0,0,0,NONE,0,2019-06-14T16:44:09.544694
-5207.0,6115.0,3517.0,-772.0,-829.0,-2707.0,703.0,0,0,0,NONE,0,2019-06-14T16:44:10.112022
-5103.0,6039.0,3542.0,-722.0,-768.0,-2740.0,747.0,0,0,0,NONE,0,2019-06-14T16:44:10.681615
-5128.0,6044.0,3529.0,-714.0,-768.0,-2660.0,722.0,0,0,0,NONE,0,2019-06-14T16:44:11.248865
-5117.0,6096.0,3521.0,-760.0,-797.0,-2668.0,656.0,0,0,0,NONE,0,2019-06-14T16:44:11.816824
-5097.0,6117.0,3517.0,-679.0,-774.0,-2678.0,688.0,0,0,0,NONE,0,2019-06-14T16:44:12.384087
-5103.0,6059.0,3500.0,-699.0,-808.0,-2625.0,633.0,0,0,0,NONE,0,2019-06-14T16:44:12.952968
-5163.0,6047.0,3492.0,-677.0,-769.0,-2642.0,724.0,0,0,0,NONE,0,2019-06-14T16:44:13.520143
-5162.0,6068.0,3543.0,-677.0,-730.0,-2630.0,683.0,0,0,0,NONE,0,2019-06-14T16:44:14.089148
-5132.0,6050.0,3508.0,-717.0,-799.0,-2661.0,715.0,0,0,0,NONE,0,2019-06-14T16:44:14.657329
-5136.0,6161.0,3499.0,-630.0,-764.0,-2698.0,709.0,0,0,0,NONE,0,2019-06-14T16:44:15.224144
-5150.0,6096.0,3492.0,-675.0,-779.0,-2658.0,683.0,0,0,0,NONE,0,2019-06-14T16:44:15.793017
-5170.0,6079.0,3472.0,-639.0,-794.0,-2650.0,695.0,0,0,0,NONE,0,2019-06-14T16:44:16.361503
-5156.0,6104.0,3432.0,-657.0,-834.0,-2703.0,697.0,0,0,0,NONE,0,2019-06-14T16:44:16.928523
-5130.0,6097.0,3510.0,-695.0,-816.0,-2674.0,589.0,0,0,0,NONE,0,2019-06-14T16:44:17.496921
-5162.0,6108.0,3483.0,-600.0,-811.0,-2647.0,704.0,0,0,0,NONE,0,2019-06-14T16:44:18.065577
-5149.0,6100.0,3465.0,-602.0,-808.0,-2612.0,691.0,0,0,0,NONE,0,2019-06-14T16:44:18.633310
-5120.0,6065.0,3436.0,-645.0,-792.0,-2672.0,759.0,0,0,0,NONE,0,2019-06-14T16:44:19.202097
