seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6.0,3717.0,3104.0,-6278.0,7306.0,2603.0,-8015.0,0,0,0,NONE,0,2019-06-14T14:51:17.504893
24.0,3660.0,3157.0,-6303.0,7322.0,2604.0,-8061.0,0,0,0,NONE,0,2019-06-14T14:51:18.052976
8.0,3700.0,3160.0,-6263.0,7269.0,2677.0,-8004.0,0,0,0,NONE,0,2019-06-14T14:51:18.641447
84.0,3693.0,3177.0,-6343.0,7337.0,2593.0,-7970.0,0,0,0,NONE,0,2019-06-14T14:51:19.187632
56.0,3672.0,3246.0,-6314.0,7244.0,2541.0,-7987.0,0,0,0,NONE,0,2019-06-14T14:51:19.778010
101.0,3607.0,3253.0,-6383.0,7171.0,2566.0,-7934.0,0,0,0,NONE,0,2019-06-14T14:51:20.323357
166.0,3665.0,3346.0,-6412.0,7139.0,2438.0,-7965.0,0,0,0,NONE,0,2019-06-14T14:51:20.913814
219.0,3622.0,3366.0,-6453.0,7197.0,2438.0,-7867.0,0,0,0,NONE,0,2019-06-14T14:51:21.460014
206.0,3597.0,3379.0,-6533.0,7113.0,2447.0,-7878.0,0,0,0,NONE,0,2019-06-14T14:51:22.050523
274.0,3585.0,3477.0,-6520.0,7141.0,2425.0,-7857.0,0,0,0,NONE,0,2019-06-14T14:51:22.593039
288.0,3579.0,3451.0,-6556.0,7103.0,2417.0,-7842.0,0,0,0,NONE,0,2019-06-14T14:51:23.186234
424.0,3579.0,3497.0,-6584.0,7037.0,2346.0,-7744.0,0,0,0,NONE,0,2019-06-14T14:51:23.728219
466.0,3577.0,3577.0,-6652.0,7023.0,2299.0,-7829.0,0,0,0,NONE,0,2019-06-14T14:51:24.322369
451.0,3533.0,3645.0,-6720.0,6985.0,2421.0,-7762.0,0,0,0,NONE,0,2019-06-14T14:51:24.864400
506.0,3494.0,3685.0,-6743.0,7001.0,2405.0,-7785.0,0,0,0,NONE,0,2019-06-14T14:51:25.458981
589.0,3483.0,3696.0,-6724.0,6853.0,2374.0,-7786.0,0,0,0,NONE,0,2019-06-14T14:51:25.998496
665.0,3460.0,3760.0,-6789.0,6894.0,2448.0,-7691.0,0,0,0,NONE,0,2019-06-14T14:51:26.594844
706.0,3444.0,3862.0,-6791.0,6890.0,2460.0,-7739.0,0,0,0,NONE,0,2019-06-14T14:51:27.133689
676.0,3466.0,3895.0,-6890.0,6889.0,2416.0,-7615.0,0,0,0,NONE,0,2019-06-14T14:51:27.731349
765.0,3447.0,3999.0,-6801.0,6831.0,2499.0,-7646.0,0,0,0,NONE,0,2019-06-14T14:51:28.268801
