seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4932.0,5450.0,3736.0,-386.0,-484.0,-1926.0,-865.0,0,0,0,NONE,0,2019-06-14T16:20:01.103010
-4921.0,5457.0,3720.0,-392.0,-548.0,-1935.0,-892.0,0,0,0,NONE,0,2019-06-14T16:20:01.703731
-4913.0,5489.0,3751.0,-425.0,-557.0,-1939.0,-868.0,0,0,0,NONE,0,2019-06-14T16:20:02.240513
-4928.0,5471.0,3751.0,-404.0,-546.0,-1957.0,-939.0,0,0,0,NONE,0,2019-06-14T16:20:02.840491
-4939.0,5515.0,3748.0,-365.0,-480.0,-1838.0,-911.0,0,0,0,NONE,0,2019-06-14T16:20:03.375930
-4970.0,5458.0,3701.0,-404.0,-557.0,-1897.0,-920.0,0,0,0,NONE,0,2019-06-14T16:20:03.976843
-4930.0,5546.0,3704.0,-456.0,-614.0,-2031.0,-953.0,0,0,0,NONE,0,2019-06-14T16:20:04.511327
-4920.0,5462.0,3799.0,-473.0,-539.0,-1915.0,-935.0,0,0,0,NONE,0,2019-06-14T16:20:05.113517
-4881.0,5490.0,3768.0,-393.0,-467.0,-1907.0,-973.0,0,0,0,NONE,0,2019-06-14T16:20:05.647021
-4888.0,5462.0,3760.0,-414.0,-538.0,-1919.0,-989.0,0,0,0,NONE,0,2019-06-14T16:20:06.250433
-4886.0,5474.0,3729.0,-414.0,-564.0,-1922.0,-994.0,0,0,0,NONE,0,2019-06-14T16:20:06.783707
-4926.0,5506.0,3724.0,-417.0,-503.0,-1987.0,-996.0,0,0,0,NONE,0,2019-06-14T16:20:07.387426
-4963.0,5455.0,3787.0,-405.0,-627.0,-1962.0,-1010.0,0,0,0,NONE,0,2019-06-14T16:20:07.919485
-4887.0,5520.0,3702.0,-455.0,-573.0,-1937.0,-1039.0,0,0,0,NONE,0,2019-06-14T16:20:08.524783
-4888.0,5462.0,3784.0,-451.0,-504.0,-1896.0,-1078.0,0,0,0,NONE,0,2019-06-14T16:20:09.056471
-4856.0,5513.0,3771.0,-416.0,-593.0,-1912.0,-1091.0,0,0,0,NONE,0,2019-06-14T16:20:09.660714
-4878.0,5518.0,3700.0,-408.0,-570.0,-1929.0,-1045.0,0,0,0,NONE,0,2019-06-14T16:20:10.192480
-4869.0,5489.0,3760.0,-396.0,-606.0,-1892.0,-1103.0,0,0,0,NONE,0,2019-06-14T16:20:10.797071
-4855.0,5478.0,3767.0,-412.0,-540.0,-1884.0,-1081.0,0,0,0,NONE,0,2019-06-14T16:20:11.328275
-4904.0,5509.0,3781.0,-364.0,-537.0,-1908.0,-1032.0,0,0,0,NONE,0,2019-06-14T16:20:11.896052
