seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2519.0,4812.0,6071.0,-5570.0,-4316.0,1812.0,430.0,0,0,0,NONE,0,2019-06-14T15:12:53.419069
2552.0,4812.0,6031.0,-5481.0,-4211.0,1873.0,462.0,0,0,0,NONE,0,2019-06-14T15:12:54.004629
2543.0,4849.0,6047.0,-5540.0,-4302.0,1827.0,446.0,0,0,0,NONE,0,2019-06-14T15:12:54.555383
2510.0,4813.0,6031.0,-5568.0,-4314.0,1859.0,385.0,0,0,0,NONE,0,2019-06-14T15:12:55.139953
2554.0,4812.0,6016.0,-5525.0,-4283.0,1921.0,454.0,0,0,0,NONE,0,2019-06-14T15:12:55.690350
2508.0,4863.0,6043.0,-5524.0,-4297.0,1987.0,442.0,0,0,0,NONE,0,2019-06-14T15:12:56.277198
2499.0,4868.0,6017.0,-5518.0,-4311.0,1961.0,421.0,0,0,0,NONE,0,2019-06-14T15:12:56.826022
2531.0,4859.0,6078.0,-5404.0,-4260.0,2008.0,357.0,0,0,0,NONE,0,2019-06-14T15:12:57.412508
2530.0,4871.0,6075.0,-5386.0,-4277.0,2050.0,375.0,0,0,0,NONE,0,2019-06-14T15:12:57.961169
2511.0,4839.0,6070.0,-5347.0,-4293.0,2042.0,404.0,0,0,0,NONE,0,2019-06-14T15:12:58.547573
2513.0,4916.0,6103.0,-5345.0,-4215.0,2095.0,388.0,0,0,0,NONE,0,2019-06-14T15:12:59.096100
2444.0,4830.0,6120.0,-5274.0,-4250.0,2157.0,365.0,0,0,0,NONE,0,2019-06-14T15:12:59.683599
2417.0,4882.0,6192.0,-5233.0,-4190.0,2103.0,380.0,0,0,0,NONE,0,2019-06-14T15:13:00.231346
2429.0,4846.0,6107.0,-5186.0,-4190.0,2205.0,348.0,0,0,0,NONE,0,2019-06-14T15:13:00.820047
2355.0,4886.0,6159.0,-5145.0,-4188.0,2220.0,354.0,0,0,0,NONE,0,2019-06-14T15:13:01.366243
2294.0,4938.0,6111.0,-5078.0,-4095.0,2271.0,398.0,0,0,0,NONE,0,2019-06-14T15:13:01.955745
2313.0,4911.0,6130.0,-5060.0,-4156.0,2325.0,379.0,0,0,0,NONE,0,2019-06-14T15:13:02.502289
2289.0,4814.0,6133.0,-4958.0,-4127.0,2409.0,347.0,0,0,0,NONE,0,2019-06-14T15:13:03.091644
2182.0,4900.0,6137.0,-4909.0,-4089.0,2387.0,308.0,0,0,0,NONE,0,2019-06-14T15:13:03.636724
2196.0,4873.0,6081.0,-4887.0,-4025.0,2547.0,266.0,0,0,0,NONE,0,2019-06-14T15:13:04.227167
