seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1026.0,-1092.0,3841.0,2987.0,556.0,-753.0,5986.0,0,0,0,NONE,0,2019-06-14T11:57:32.635867
-1040.0,-1093.0,3917.0,2984.0,565.0,-801.0,6039.0,0,0,0,NONE,0,2019-06-14T11:57:33.214338
-1005.0,-1123.0,3863.0,3023.0,568.0,-822.0,6070.0,0,0,0,NONE,0,2019-06-14T11:57:33.770606
-1054.0,-1118.0,3926.0,3008.0,650.0,-831.0,5953.0,0,0,0,NONE,0,2019-06-14T11:57:34.350327
-1128.0,-1179.0,3837.0,3037.0,721.0,-795.0,6081.0,0,0,0,NONE,0,2019-06-14T11:57:34.905068
-1084.0,-1133.0,3835.0,3075.0,727.0,-802.0,5946.0,0,0,0,NONE,0,2019-06-14T11:57:35.486060
-1115.0,-1110.0,3901.0,3084.0,746.0,-798.0,5961.0,0,0,0,NONE,0,2019-06-14T11:57:36.039783
-1129.0,-1158.0,3856.0,3017.0,794.0,-712.0,6032.0,0,0,0,NONE,0,2019-06-14T11:57:36.622293
-1118.0,-1220.0,3880.0,2977.0,742.0,-749.0,5977.0,0,0,0,NONE,0,2019-06-14T11:57:37.174531
-1202.0,-1193.0,3865.0,3033.0,879.0,-767.0,5966.0,0,0,0,NONE,0,2019-06-14T11:57:37.758075
-1182.0,-1179.0,3871.0,3050.0,863.0,-726.0,5932.0,0,0,0,NONE,0,2019-06-14T11:57:38.309281
-1222.0,-1225.0,3840.0,2996.0,861.0,-716.0,6004.0,0,0,0,NONE,0,2019-06-14T11:57:38.894119
-1212.0,-1242.0,3833.0,3057.0,913.0,-696.0,5911.0,0,0,0,NONE,0,2019-06-14T11:57:39.444432
-1221.0,-1243.0,3866.0,3023.0,934.0,-758.0,5933.0,0,0,0,NONE,0,2019-06-14T11:57:40.030280
-1226.0,-1218.0,3842.0,3018.0,943.0,-715.0,5906.0,0,0,0,NONE,0,2019-06-14T11:57:40.580044
-1235.0,-1263.0,3807.0,2990.0,958.0,-767.0,5917.0,0,0,0,NONE,0,2019-06-14T11:57:41.166037
-1302.0,-1252.0,3761.0,3071.0,1008.0,-715.0,5868.0,0,0,0,NONE,0,2019-06-14T11:57:41.713713
-1339.0,-1279.0,3823.0,2994.0,965.0,-689.0,5840.0,0,0,0,NONE,0,2019-06-14T11:57:42.302061
-1328.0,-1260.0,3801.0,3031.0,1042.0,-737.0,5888.0,0,0,0,NONE,0,2019-06-14T11:57:42.848334
-1348.0,-1266.0,3869.0,3007.0,1079.0,-720.0,5843.0,0,0,0,NONE,0,2019-06-14T11:57:43.437953
