seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3353.0,6836.0,-6791.0,7261.0,-7440.0,-7754.0,8769.0,0,0,0,NONE,0,2019-06-14T13:09:26.096968
-3357.0,6827.0,-6823.0,7316.0,-7361.0,-7696.0,8804.0,0,0,0,NONE,0,2019-06-14T13:09:26.713126
-3358.0,6757.0,-6796.0,7339.0,-7314.0,-7704.0,8770.0,0,0,0,NONE,0,2019-06-14T13:09:27.232473
-3379.0,6726.0,-6733.0,7296.0,-7259.0,-7749.0,8756.0,0,0,0,NONE,0,2019-06-14T13:09:27.800072
-3346.0,6750.0,-6745.0,7321.0,-7166.0,-7620.0,8738.0,0,0,0,NONE,0,2019-06-14T13:09:28.367573
-3365.0,6678.0,-6696.0,7256.0,-7164.0,-7550.0,8711.0,0,0,0,NONE,0,2019-06-14T13:09:28.985042
-3357.0,6687.0,-6645.0,7349.0,-7118.0,-7548.0,8712.0,0,0,0,NONE,0,2019-06-14T13:09:29.502894
-3455.0,6623.0,-6638.0,7261.0,-7157.0,-7581.0,8705.0,0,0,0,NONE,0,2019-06-14T13:09:30.070171
-3506.0,6613.0,-6621.0,7238.0,-7066.0,-7515.0,8704.0,0,0,0,NONE,0,2019-06-14T13:09:30.637633
-3527.0,6469.0,-6684.0,7131.0,-7068.0,-7617.0,8621.0,0,0,0,NONE,0,2019-06-14T13:09:31.205076
-3383.0,6551.0,-6614.0,7482.0,-6767.0,-7404.0,8672.0,0,0,0,NONE,0,2019-06-14T13:09:31.773507
-3438.0,6423.0,-6559.0,7256.0,-7003.0,-7631.0,8479.0,0,0,0,NONE,0,2019-06-14T13:09:32.340195
-3338.0,6547.0,-6549.0,7377.0,-6652.0,-7394.0,8591.0,0,0,0,NONE,0,2019-06-14T13:09:32.909419
-3405.0,6381.0,-6521.0,7342.0,-6763.0,-7379.0,8597.0,0,0,0,NONE,0,2019-06-14T13:09:33.475077
-3432.0,6431.0,-6539.0,7363.0,-6599.0,-7390.0,8597.0,0,0,0,NONE,0,2019-06-14T13:09:34.045217
-3444.0,6374.0,-6423.0,7313.0,-6518.0,-7285.0,8612.0,0,0,0,NONE,0,2019-06-14T13:09:34.610178
-3417.0,6328.0,-6465.0,7293.0,-6456.0,-7329.0,8551.0,0,0,0,NONE,0,2019-06-14T13:09:35.181282
-3470.0,6301.0,-6454.0,7317.0,-6439.0,-7286.0,8509.0,0,0,0,NONE,0,2019-06-14T13:09:35.744813
-3458.0,6316.0,-6437.0,7247.0,-6376.0,-7239.0,8512.0,0,0,0,NONE,0,2019-06-14T13:09:36.317239
-3503.0,6240.0,-6386.0,7235.0,-6293.0,-7257.0,8530.0,0,0,0,NONE,0,2019-06-14T13:09:36.880192
