seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2503.0,2080.0,1980.0,-1543.0,-5253.0,-3680.0,1228.0,0,0,0,NONE,0,2019-06-14T12:07:34.447671
2535.0,2121.0,1954.0,-1625.0,-5401.0,-3669.0,1156.0,0,0,0,NONE,0,2019-06-14T12:07:35.003335
2557.0,2143.0,2016.0,-1564.0,-5413.0,-3732.0,1169.0,0,0,0,NONE,0,2019-06-14T12:07:35.583879
2654.0,2135.0,2013.0,-1577.0,-5442.0,-3688.0,1207.0,0,0,0,NONE,0,2019-06-14T12:07:36.138328
2656.0,2169.0,1983.0,-1656.0,-5539.0,-3735.0,1192.0,0,0,0,NONE,0,2019-06-14T12:07:36.719972
2775.0,2143.0,2015.0,-1626.0,-5557.0,-3737.0,1232.0,0,0,0,NONE,0,2019-06-14T12:07:37.273265
2773.0,2182.0,2007.0,-1644.0,-5675.0,-3802.0,1246.0,0,0,0,NONE,0,2019-06-14T12:07:37.856062
2833.0,2246.0,2103.0,-1626.0,-5591.0,-3794.0,1247.0,0,0,0,NONE,0,2019-06-14T12:07:38.408334
2960.0,2207.0,2063.0,-1589.0,-5716.0,-3765.0,1262.0,0,0,0,NONE,0,2019-06-14T12:07:38.992167
2946.0,2194.0,2076.0,-1565.0,-5763.0,-3835.0,1287.0,0,0,0,NONE,0,2019-06-14T12:07:39.543022
2905.0,2183.0,2126.0,-1546.0,-5777.0,-3875.0,1312.0,0,0,0,NONE,0,2019-06-14T12:07:40.128380
3035.0,2220.0,2253.0,-1489.0,-5783.0,-3788.0,1318.0,0,0,0,NONE,0,2019-06-14T12:07:40.678052
3032.0,2312.0,2214.0,-1442.0,-5823.0,-3904.0,1332.0,0,0,0,NONE,0,2019-06-14T12:07:41.264895
3056.0,2254.0,2269.0,-1471.0,-5883.0,-3934.0,1367.0,0,0,0,NONE,0,2019-06-14T12:07:41.812976
3104.0,2303.0,2243.0,-1434.0,-5871.0,-3973.0,1344.0,0,0,0,NONE,0,2019-06-14T12:07:42.400725
3078.0,2332.0,2284.0,-1347.0,-5966.0,-4049.0,1394.0,0,0,0,NONE,0,2019-06-14T12:07:42.947873
3133.0,2308.0,2312.0,-1394.0,-6028.0,-4107.0,1383.0,0,0,0,NONE,0,2019-06-14T12:07:43.536972
3182.0,2331.0,2354.0,-1344.0,-6138.0,-4122.0,1427.0,0,0,0,NONE,0,2019-06-14T12:07:44.082830
3219.0,2379.0,2286.0,-1275.0,-6127.0,-4154.0,1410.0,0,0,0,NONE,0,2019-06-14T12:07:44.672978
3192.0,2361.0,2345.0,-1311.0,-6187.0,-4183.0,1512.0,0,0,0,NONE,0,2019-06-14T12:07:45.217478
