seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
429.0,12580.0,2965.0,-3306.0,-12777.0,-9050.0,1778.0,0,0,0,NONE,0,2019-06-14T16:59:28.702989
476.0,12571.0,2950.0,-3368.0,-12884.0,-9077.0,1743.0,0,0,0,NONE,0,2019-06-14T16:59:29.292554
499.0,12598.0,2944.0,-3401.0,-12932.0,-9121.0,1790.0,0,0,0,NONE,0,2019-06-14T16:59:29.839625
548.0,12594.0,3016.0,-3465.0,-13056.0,-9019.0,1815.0,0,0,0,NONE,0,2019-06-14T16:59:30.429178
609.0,12592.0,2996.0,-3421.0,-13088.0,-9056.0,1804.0,0,0,0,NONE,0,2019-06-14T16:59:30.975860
611.0,12662.0,3039.0,-3467.0,-13153.0,-9095.0,1960.0,0,0,0,NONE,0,2019-06-14T16:59:31.566192
662.0,12608.0,3041.0,-3435.0,-13174.0,-9091.0,1914.0,0,0,0,NONE,0,2019-06-14T16:59:32.111428
679.0,12593.0,3082.0,-3535.0,-13283.0,-9028.0,1840.0,0,0,0,NONE,0,2019-06-14T16:59:32.703022
734.0,12626.0,3029.0,-3516.0,-13382.0,-9055.0,1918.0,0,0,0,NONE,0,2019-06-14T16:59:33.247229
807.0,12584.0,3019.0,-3487.0,-13448.0,-9075.0,1918.0,0,0,0,NONE,0,2019-06-14T16:59:33.840101
869.0,12593.0,3068.0,-3492.0,-13488.0,-8999.0,1922.0,0,0,0,NONE,0,2019-06-14T16:59:34.384063
901.0,12594.0,2999.0,-3500.0,-13606.0,-8965.0,1970.0,0,0,0,NONE,0,2019-06-14T16:59:34.976288
901.0,12666.0,3073.0,-3492.0,-13628.0,-8958.0,1936.0,0,0,0,NONE,0,2019-06-14T16:59:35.519353
901.0,12633.0,3077.0,-3425.0,-13736.0,-8890.0,1956.0,0,0,0,NONE,0,2019-06-14T16:59:36.113486
928.0,12642.0,3049.0,-3383.0,-13805.0,-8920.0,1988.0,0,0,0,NONE,0,2019-06-14T16:59:36.656508
882.0,12627.0,3089.0,-3496.0,-13842.0,-8857.0,2038.0,0,0,0,NONE,0,2019-06-14T16:59:37.250014
1007.0,12692.0,3099.0,-3429.0,-13891.0,-8857.0,2034.0,0,0,0,NONE,0,2019-06-14T16:59:37.791171
966.0,12675.0,3055.0,-3349.0,-13947.0,-8832.0,2098.0,0,0,0,NONE,0,2019-06-14T16:59:38.386884
1030.0,12671.0,3038.0,-3337.0,-14026.0,-8824.0,2129.0,0,0,0,NONE,0,2019-06-14T16:59:38.926548
1057.0,12750.0,3071.0,-3333.0,-14087.0,-8814.0,2190.0,0,0,0,NONE,0,2019-06-14T16:59:39.523373
