seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5361.0,3509.0,4071.0,-288.0,-10612.0,-6347.0,4440.0,0,0,0,NONE,0,2019-06-14T12:28:27.947905
5327.0,3545.0,3970.0,-230.0,-10626.0,-6281.0,4488.0,0,0,0,NONE,0,2019-06-14T12:28:28.548307
5311.0,3605.0,3925.0,-236.0,-10635.0,-6253.0,4449.0,0,0,0,NONE,0,2019-06-14T12:28:29.083392
5306.0,3617.0,3938.0,-205.0,-10723.0,-6237.0,4442.0,0,0,0,NONE,0,2019-06-14T12:28:29.684439
5293.0,3589.0,3906.0,-190.0,-10699.0,-6276.0,4466.0,0,0,0,NONE,0,2019-06-14T12:28:30.217975
5309.0,3583.0,3832.0,-135.0,-10742.0,-6279.0,4421.0,0,0,0,NONE,0,2019-06-14T12:28:30.820513
5394.0,3551.0,3874.0,-97.0,-10666.0,-6267.0,4457.0,0,0,0,NONE,0,2019-06-14T12:28:31.352717
5339.0,3540.0,3765.0,-187.0,-10757.0,-6249.0,4440.0,0,0,0,NONE,0,2019-06-14T12:28:31.956602
5350.0,3482.0,3687.0,-122.0,-10726.0,-6233.0,4484.0,0,0,0,NONE,0,2019-06-14T12:28:32.487134
5316.0,3606.0,3661.0,-90.0,-10786.0,-6229.0,4502.0,0,0,0,NONE,0,2019-06-14T12:28:33.092516
5335.0,3563.0,3604.0,-60.0,-10767.0,-6285.0,4469.0,0,0,0,NONE,0,2019-06-14T12:28:33.622457
5314.0,3658.0,3613.0,-3.0,-10763.0,-6262.0,4531.0,0,0,0,NONE,0,2019-06-14T12:28:34.228685
5309.0,3691.0,3553.0,-60.0,-10765.0,-6317.0,4552.0,0,0,0,NONE,0,2019-06-14T12:28:34.757307
5269.0,3673.0,3548.0,-60.0,-10799.0,-6282.0,4604.0,0,0,0,NONE,0,2019-06-14T12:28:35.364470
5334.0,3678.0,3433.0,-32.0,-10754.0,-6265.0,4660.0,0,0,0,NONE,0,2019-06-14T12:28:35.892370
5295.0,3758.0,3414.0,-29.0,-10811.0,-6250.0,4645.0,0,0,0,NONE,0,2019-06-14T12:28:36.500883
5267.0,3798.0,3378.0,30.0,-10813.0,-6238.0,4657.0,0,0,0,NONE,0,2019-06-14T12:28:37.026847
5262.0,3779.0,3330.0,73.0,-10818.0,-6291.0,4675.0,0,0,0,NONE,0,2019-06-14T12:28:37.594328
5289.0,3844.0,3260.0,94.0,-10850.0,-6269.0,4730.0,0,0,0,NONE,0,2019-06-14T12:28:38.161772
5243.0,3827.0,3262.0,94.0,-10798.0,-6287.0,4710.0,0,0,0,NONE,0,2019-06-14T12:28:38.728969
