seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4381.0,2308.0,4811.0,763.0,-6847.0,-5879.0,6656.0,0,0,0,NONE,0,2019-06-14T11:54:19.762107
4437.0,2215.0,4857.0,723.0,-6868.0,-5976.0,6685.0,0,0,0,NONE,0,2019-06-14T11:54:20.329664
4517.0,2239.0,4818.0,660.0,-6907.0,-5935.0,6653.0,0,0,0,NONE,0,2019-06-14T11:54:20.896922
4500.0,2226.0,4905.0,674.0,-6914.0,-5874.0,6585.0,0,0,0,NONE,0,2019-06-14T11:54:21.464322
4505.0,2215.0,4922.0,693.0,-6885.0,-5949.0,6637.0,0,0,0,NONE,0,2019-06-14T11:54:22.031469
4565.0,2241.0,4916.0,671.0,-6976.0,-6006.0,6664.0,0,0,0,NONE,0,2019-06-14T11:54:22.598740
4590.0,2149.0,4936.0,645.0,-6856.0,-5982.0,6630.0,0,0,0,NONE,0,2019-06-14T11:54:23.165884
4596.0,2169.0,4998.0,642.0,-6868.0,-6040.0,6628.0,0,0,0,NONE,0,2019-06-14T11:54:23.733126
4640.0,2208.0,5032.0,630.0,-6908.0,-6037.0,6636.0,0,0,0,NONE,0,2019-06-14T11:54:24.300366
4699.0,2191.0,5063.0,693.0,-6888.0,-5989.0,6684.0,0,0,0,NONE,0,2019-06-14T11:54:24.867568
4677.0,2182.0,5042.0,650.0,-6958.0,-6011.0,6704.0,0,0,0,NONE,0,2019-06-14T11:54:25.434962
4692.0,2180.0,5044.0,732.0,-6946.0,-6038.0,6673.0,0,0,0,NONE,0,2019-06-14T11:54:26.002464
4639.0,2154.0,5039.0,697.0,-7015.0,-5999.0,6701.0,0,0,0,NONE,0,2019-06-14T11:54:26.569425
4623.0,2188.0,5010.0,747.0,-6982.0,-5935.0,6690.0,0,0,0,NONE,0,2019-06-14T11:54:27.138332
4596.0,2159.0,5013.0,733.0,-6990.0,-5983.0,6726.0,0,0,0,NONE,0,2019-06-14T11:54:27.703962
4578.0,2139.0,5003.0,679.0,-6992.0,-5989.0,6767.0,0,0,0,NONE,0,2019-06-14T11:54:28.274519
4648.0,2107.0,4964.0,705.0,-7014.0,-5921.0,6738.0,0,0,0,NONE,0,2019-06-14T11:54:28.838400
4612.0,2065.0,5010.0,727.0,-6926.0,-5979.0,6725.0,0,0,0,NONE,0,2019-06-14T11:54:29.410314
4657.0,2078.0,4973.0,696.0,-7030.0,-6008.0,6784.0,0,0,0,NONE,0,2019-06-14T11:54:29.972673
4580.0,2020.0,4925.0,748.0,-7052.0,-5996.0,6735.0,0,0,0,NONE,0,2019-06-14T11:54:30.546252
