seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3754.0,4017.0,2347.0,-1336.0,12399.0,5628.0,-5148.0,0,0,0,NONE,0,2019-06-14T14:22:38.686175
-3797.0,4000.0,2303.0,-1347.0,12410.0,5585.0,-5097.0,0,0,0,NONE,0,2019-06-14T14:22:39.236868
-3806.0,3981.0,2318.0,-1356.0,12450.0,5572.0,-5167.0,0,0,0,NONE,0,2019-06-14T14:22:39.822514
-3771.0,3964.0,2342.0,-1384.0,12554.0,5670.0,-5215.0,0,0,0,NONE,0,2019-06-14T14:22:40.371734
-3840.0,3890.0,2380.0,-1356.0,12542.0,5715.0,-5185.0,0,0,0,NONE,0,2019-06-14T14:22:40.958215
-3803.0,3933.0,2355.0,-1461.0,12568.0,5677.0,-5161.0,0,0,0,NONE,0,2019-06-14T14:22:41.507088
-3852.0,3854.0,2403.0,-1475.0,12605.0,5734.0,-5254.0,0,0,0,NONE,0,2019-06-14T14:22:42.094637
-3806.0,3850.0,2381.0,-1459.0,12661.0,5712.0,-5199.0,0,0,0,NONE,0,2019-06-14T14:22:42.641384
-3804.0,3841.0,2417.0,-1441.0,12694.0,5732.0,-5255.0,0,0,0,NONE,0,2019-06-14T14:22:43.230553
-3862.0,3785.0,2408.0,-1473.0,12778.0,5709.0,-5271.0,0,0,0,NONE,0,2019-06-14T14:22:43.775711
-3855.0,3821.0,2419.0,-1442.0,12804.0,5737.0,-5317.0,0,0,0,NONE,0,2019-06-14T14:22:44.366426
-3849.0,3757.0,2390.0,-1468.0,12855.0,5746.0,-5341.0,0,0,0,NONE,0,2019-06-14T14:22:44.909648
-3861.0,3732.0,2423.0,-1466.0,12900.0,5897.0,-5336.0,0,0,0,NONE,0,2019-06-14T14:22:45.502351
-3910.0,3747.0,2469.0,-1492.0,12876.0,5842.0,-5330.0,0,0,0,NONE,0,2019-06-14T14:22:46.046351
-3904.0,3678.0,2403.0,-1526.0,12983.0,5921.0,-5388.0,0,0,0,NONE,0,2019-06-14T14:22:46.638165
-3902.0,3648.0,2414.0,-1535.0,12950.0,5862.0,-5394.0,0,0,0,NONE,0,2019-06-14T14:22:47.181034
-3887.0,3649.0,2464.0,-1572.0,12983.0,5885.0,-5378.0,0,0,0,NONE,0,2019-06-14T14:22:47.774108
-3943.0,3616.0,2543.0,-1560.0,13044.0,5961.0,-5415.0,0,0,0,NONE,0,2019-06-14T14:22:48.316016
-3920.0,3599.0,2522.0,-1631.0,13119.0,5900.0,-5420.0,0,0,0,NONE,0,2019-06-14T14:22:48.909142
-3974.0,3561.0,2520.0,-1604.0,13126.0,5928.0,-5398.0,0,0,0,NONE,0,2019-06-14T14:22:49.450834
