seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6676.0,-649.0,1194.0,-4776.0,9236.0,15577.0,-11806.0,0,0,0,NONE,0,2019-06-14T15:21:24.358221
-6708.0,-653.0,1172.0,-4741.0,9212.0,15614.0,-11814.0,0,0,0,NONE,0,2019-06-14T15:21:24.942210
-6672.0,-632.0,1170.0,-4730.0,9159.0,15586.0,-11813.0,0,0,0,NONE,0,2019-06-14T15:21:25.494933
-6660.0,-665.0,1179.0,-4730.0,9164.0,15670.0,-11800.0,0,0,0,NONE,0,2019-06-14T15:21:26.078795
-6682.0,-692.0,1143.0,-4757.0,9230.0,15635.0,-11780.0,0,0,0,NONE,0,2019-06-14T15:21:26.630753
-6697.0,-676.0,1135.0,-4757.0,9199.0,15662.0,-11857.0,0,0,0,NONE,0,2019-06-14T15:21:27.215020
-6643.0,-688.0,1154.0,-4728.0,9165.0,15623.0,-11813.0,0,0,0,NONE,0,2019-06-14T15:21:27.766155
-6662.0,-619.0,1143.0,-4750.0,9281.0,15595.0,-11800.0,0,0,0,NONE,0,2019-06-14T15:21:28.352032
-6678.0,-687.0,1132.0,-4752.0,9281.0,15594.0,-11853.0,0,0,0,NONE,0,2019-06-14T15:21:28.901804
-6653.0,-656.0,1155.0,-4719.0,9223.0,15590.0,-11860.0,0,0,0,NONE,0,2019-06-14T15:21:29.488356
-6675.0,-567.0,1124.0,-4812.0,9240.0,15626.0,-11839.0,0,0,0,NONE,0,2019-06-14T15:21:30.038658
-6659.0,-638.0,1215.0,-4734.0,9218.0,15639.0,-11879.0,0,0,0,NONE,0,2019-06-14T15:21:30.625281
-6604.0,-655.0,1135.0,-4789.0,9249.0,15669.0,-11875.0,0,0,0,NONE,0,2019-06-14T15:21:31.174228
-6636.0,-670.0,1148.0,-4764.0,9225.0,15676.0,-11852.0,0,0,0,NONE,0,2019-06-14T15:21:31.762601
-6644.0,-644.0,1191.0,-4762.0,9206.0,15656.0,-11828.0,0,0,0,NONE,0,2019-06-14T15:21:32.310577
-6660.0,-661.0,1156.0,-4734.0,9295.0,15661.0,-11852.0,0,0,0,NONE,0,2019-06-14T15:21:32.898193
-6633.0,-662.0,1159.0,-4769.0,9262.0,15737.0,-11894.0,0,0,0,NONE,0,2019-06-14T15:21:33.445483
-6599.0,-636.0,1113.0,-4814.0,9239.0,15709.0,-11835.0,0,0,0,NONE,0,2019-06-14T15:21:34.034975
-6590.0,-663.0,1083.0,-4782.0,9251.0,15729.0,-11846.0,0,0,0,NONE,0,2019-06-14T15:21:34.582405
-6608.0,-728.0,1154.0,-4838.0,9228.0,15756.0,-11873.0,0,0,0,NONE,0,2019-06-14T15:21:35.171546
