seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1686.0,5221.0,6210.0,-2250.0,883.0,-1557.0,-2675.0,0,0,0,NONE,0,2019-06-14T15:57:13.310767
-1705.0,5277.0,6224.0,-2337.0,843.0,-1502.0,-2677.0,0,0,0,NONE,0,2019-06-14T15:57:13.880018
-1704.0,5215.0,6126.0,-2281.0,866.0,-1534.0,-2711.0,0,0,0,NONE,0,2019-06-14T15:57:14.447451
-1699.0,5298.0,6208.0,-2229.0,868.0,-1585.0,-2714.0,0,0,0,NONE,0,2019-06-14T15:57:15.015288
-1741.0,5232.0,6229.0,-2281.0,918.0,-1573.0,-2688.0,0,0,0,NONE,0,2019-06-14T15:57:15.583806
-1688.0,5193.0,6182.0,-2233.0,954.0,-1641.0,-2681.0,0,0,0,NONE,0,2019-06-14T15:57:16.151476
-1695.0,5261.0,6216.0,-2216.0,896.0,-1544.0,-2721.0,0,0,0,NONE,0,2019-06-14T15:57:16.719002
-1675.0,5230.0,6262.0,-2235.0,929.0,-1624.0,-2710.0,0,0,0,NONE,0,2019-06-14T15:57:17.287400
-1742.0,5226.0,6223.0,-2266.0,880.0,-1612.0,-2705.0,0,0,0,NONE,0,2019-06-14T15:57:17.856263
-1675.0,5239.0,6238.0,-2228.0,861.0,-1617.0,-2763.0,0,0,0,NONE,0,2019-06-14T15:57:18.422517
-1687.0,5189.0,6201.0,-2256.0,905.0,-1651.0,-2720.0,0,0,0,NONE,0,2019-06-14T15:57:18.991277
-1688.0,5270.0,6233.0,-2257.0,871.0,-1617.0,-2732.0,0,0,0,NONE,0,2019-06-14T15:57:19.560341
-1755.0,5253.0,6227.0,-2273.0,856.0,-1634.0,-2784.0,0,0,0,NONE,0,2019-06-14T15:57:20.128135
-1668.0,5204.0,6180.0,-2242.0,868.0,-1656.0,-2822.0,0,0,0,NONE,0,2019-06-14T15:57:20.695679
-1669.0,5232.0,6272.0,-2244.0,888.0,-1584.0,-2804.0,0,0,0,NONE,0,2019-06-14T15:57:21.265536
-1713.0,5226.0,6253.0,-2249.0,881.0,-1628.0,-2768.0,0,0,0,NONE,0,2019-06-14T15:57:21.831070
-1661.0,5226.0,6213.0,-2204.0,932.0,-1666.0,-2764.0,0,0,0,NONE,0,2019-06-14T15:57:22.401728
-1680.0,5232.0,6221.0,-2175.0,917.0,-1719.0,-2802.0,0,0,0,NONE,0,2019-06-14T15:57:22.967555
-1653.0,5216.0,6189.0,-2169.0,918.0,-1644.0,-2806.0,0,0,0,NONE,0,2019-06-14T15:57:23.538925
-1659.0,5242.0,6167.0,-2205.0,911.0,-1636.0,-2828.0,0,0,0,NONE,0,2019-06-14T15:57:24.103195
