seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2833.0,4351.0,-4603.0,6089.0,-3614.0,-5288.0,6840.0,0,0,0,NONE,0,2019-06-14T13:10:11.525885
-2873.0,4286.0,-4661.0,6113.0,-3602.0,-5226.0,6884.0,0,0,0,NONE,0,2019-06-14T13:10:12.061695
-2827.0,4223.0,-4615.0,6050.0,-3614.0,-5204.0,6871.0,0,0,0,NONE,0,2019-06-14T13:10:12.661742
-2818.0,4245.0,-4593.0,6093.0,-3538.0,-5275.0,6853.0,0,0,0,NONE,0,2019-06-14T13:10:13.196233
-2815.0,4212.0,-4556.0,6070.0,-3494.0,-5136.0,6781.0,0,0,0,NONE,0,2019-06-14T13:10:13.797362
-2809.0,4215.0,-4542.0,6079.0,-3499.0,-5082.0,6810.0,0,0,0,NONE,0,2019-06-14T13:10:14.331799
-2818.0,4108.0,-4518.0,5976.0,-3427.0,-5109.0,6783.0,0,0,0,NONE,0,2019-06-14T13:10:14.933017
-2785.0,4057.0,-4450.0,5994.0,-3313.0,-5075.0,6827.0,0,0,0,NONE,0,2019-06-14T13:10:15.466844
-2801.0,4023.0,-4407.0,6002.0,-3307.0,-5020.0,6805.0,0,0,0,NONE,0,2019-06-14T13:10:16.068715
-2804.0,4031.0,-4387.0,5953.0,-3255.0,-4992.0,6777.0,0,0,0,NONE,0,2019-06-14T13:10:16.601634
-2817.0,3963.0,-4418.0,5967.0,-3171.0,-4984.0,6738.0,0,0,0,NONE,0,2019-06-14T13:10:17.204699
-2758.0,4005.0,-4358.0,5957.0,-3121.0,-4995.0,6705.0,0,0,0,NONE,0,2019-06-14T13:10:17.736556
-2794.0,3910.0,-4314.0,5979.0,-3104.0,-4948.0,6712.0,0,0,0,NONE,0,2019-06-14T13:10:18.340525
-2802.0,3957.0,-4250.0,5954.0,-3076.0,-4945.0,6762.0,0,0,0,NONE,0,2019-06-14T13:10:18.871428
-2756.0,3868.0,-4240.0,5887.0,-3076.0,-4898.0,6706.0,0,0,0,NONE,0,2019-06-14T13:10:19.476569
-2800.0,3809.0,-4221.0,5868.0,-2993.0,-4922.0,6700.0,0,0,0,NONE,0,2019-06-14T13:10:20.006061
-2728.0,3788.0,-4123.0,5857.0,-2936.0,-4835.0,6695.0,0,0,0,NONE,0,2019-06-14T13:10:20.612452
-2726.0,3756.0,-4189.0,5922.0,-2972.0,-4885.0,6663.0,0,0,0,NONE,0,2019-06-14T13:10:21.141120
-2774.0,3732.0,-4125.0,5841.0,-2850.0,-4944.0,6650.0,0,0,0,NONE,0,2019-06-14T13:10:21.748346
-2686.0,3708.0,-4111.0,5786.0,-2777.0,-4859.0,6613.0,0,0,0,NONE,0,2019-06-14T13:10:22.275985
