seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7548.0,-2289.0,2841.0,-4056.0,17974.0,10042.0,-11709.0,0,0,0,NONE,0,2019-06-14T14:47:53.148406
-7499.0,-2329.0,2772.0,-4150.0,17850.0,10066.0,-11756.0,0,0,0,NONE,0,2019-06-14T14:47:53.716763
-7515.0,-2359.0,2762.0,-4077.0,17945.0,10011.0,-11713.0,0,0,0,NONE,0,2019-06-14T14:47:54.322375
-7537.0,-2380.0,2777.0,-4110.0,17994.0,10066.0,-11702.0,0,0,0,NONE,0,2019-06-14T14:47:54.852027
-7529.0,-2317.0,2774.0,-4151.0,18006.0,10096.0,-11728.0,0,0,0,NONE,0,2019-06-14T14:47:55.420005
-7508.0,-2401.0,2874.0,-4086.0,17985.0,10102.0,-11770.0,0,0,0,NONE,0,2019-06-14T14:47:55.986979
-7469.0,-2365.0,2851.0,-4139.0,17994.0,10108.0,-11782.0,0,0,0,NONE,0,2019-06-14T14:47:56.554692
-7500.0,-2315.0,2749.0,-4128.0,17965.0,10071.0,-11772.0,0,0,0,NONE,0,2019-06-14T14:47:57.121598
-7429.0,-2351.0,2837.0,-4188.0,17942.0,10011.0,-11775.0,0,0,0,NONE,0,2019-06-14T14:47:57.689743
-7451.0,-2378.0,2856.0,-4261.0,17951.0,9992.0,-11787.0,0,0,0,NONE,0,2019-06-14T14:47:58.258368
-7417.0,-2376.0,2845.0,-4192.0,18026.0,10024.0,-11801.0,0,0,0,NONE,0,2019-06-14T14:47:58.825776
-7460.0,-2326.0,2812.0,-4156.0,17967.0,10093.0,-11784.0,0,0,0,NONE,0,2019-06-14T14:47:59.393048
-7444.0,-2392.0,2859.0,-4148.0,18011.0,10061.0,-11790.0,0,0,0,NONE,0,2019-06-14T14:47:59.960329
-7424.0,-2342.0,2851.0,-4153.0,18035.0,10067.0,-11828.0,0,0,0,NONE,0,2019-06-14T14:48:00.527479
-7430.0,-2402.0,2843.0,-4132.0,17915.0,10097.0,-11783.0,0,0,0,NONE,0,2019-06-14T14:48:01.096731
-7412.0,-2362.0,2795.0,-4205.0,17971.0,10104.0,-11844.0,0,0,0,NONE,0,2019-06-14T14:48:01.663672
-7435.0,-2395.0,2820.0,-4201.0,18035.0,10126.0,-11808.0,0,0,0,NONE,0,2019-06-14T14:48:02.231284
-7387.0,-2399.0,2866.0,-4153.0,18006.0,10126.0,-11823.0,0,0,0,NONE,0,2019-06-14T14:48:02.799558
-7409.0,-2364.0,2810.0,-4153.0,17988.0,10152.0,-11828.0,0,0,0,NONE,0,2019-06-14T14:48:03.367699
-7391.0,-2398.0,2833.0,-4204.0,17966.0,10096.0,-11880.0,0,0,0,NONE,0,2019-06-14T14:48:03.933867
