seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4591.0,-3397.0,1555.0,3122.0,4572.0,675.0,3036.0,0,0,0,NONE,0,2019-06-14T12:55:37.860471
-4661.0,-3383.0,1543.0,3071.0,4600.0,712.0,3049.0,0,0,0,NONE,0,2019-06-14T12:55:38.383552
-4651.0,-3394.0,1574.0,3111.0,4558.0,740.0,3038.0,0,0,0,NONE,0,2019-06-14T12:55:38.950787
-4637.0,-3426.0,1606.0,3126.0,4622.0,773.0,2968.0,0,0,0,NONE,0,2019-06-14T12:55:39.518506
-4638.0,-3401.0,1522.0,3083.0,4575.0,693.0,2954.0,0,0,0,NONE,0,2019-06-14T12:55:40.085964
-4587.0,-3440.0,1529.0,3090.0,4597.0,724.0,2901.0,0,0,0,NONE,0,2019-06-14T12:55:40.653724
-4613.0,-3447.0,1559.0,3051.0,4626.0,744.0,2951.0,0,0,0,NONE,0,2019-06-14T12:55:41.220928
-4640.0,-3464.0,1615.0,3036.0,4630.0,748.0,2946.0,0,0,0,NONE,0,2019-06-14T12:55:41.788301
-4672.0,-3511.0,1621.0,3077.0,4631.0,737.0,2894.0,0,0,0,NONE,0,2019-06-14T12:55:42.356031
-4684.0,-3473.0,1585.0,3016.0,4621.0,756.0,2889.0,0,0,0,NONE,0,2019-06-14T12:55:42.923676
-4665.0,-3438.0,1566.0,3017.0,4635.0,806.0,2871.0,0,0,0,NONE,0,2019-06-14T12:55:43.490803
-4636.0,-3535.0,1574.0,3051.0,4673.0,729.0,2924.0,0,0,0,NONE,0,2019-06-14T12:55:44.058617
-4666.0,-3502.0,1558.0,3008.0,4652.0,736.0,2823.0,0,0,0,NONE,0,2019-06-14T12:55:44.625795
-4608.0,-3535.0,1531.0,3063.0,4693.0,836.0,2834.0,0,0,0,NONE,0,2019-06-14T12:55:45.193754
-4615.0,-3600.0,1588.0,3038.0,4668.0,853.0,2857.0,0,0,0,NONE,0,2019-06-14T12:55:45.761453
-4605.0,-3564.0,1574.0,3055.0,4664.0,825.0,2798.0,0,0,0,NONE,0,2019-06-14T12:55:46.329044
-4640.0,-3564.0,1572.0,2966.0,4762.0,797.0,2843.0,0,0,0,NONE,0,2019-06-14T12:55:46.896508
-4620.0,-3595.0,1587.0,2968.0,4700.0,807.0,2802.0,0,0,0,NONE,0,2019-06-14T12:55:47.464944
-4617.0,-3575.0,1608.0,2994.0,4759.0,773.0,2768.0,0,0,0,NONE,0,2019-06-14T12:55:48.031352
-4611.0,-3523.0,1624.0,2969.0,4786.0,759.0,2770.0,0,0,0,NONE,0,2019-06-14T12:55:48.600986
