seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3658.0,-4182.0,3007.0,1808.0,3588.0,1635.0,2572.0,0,0,0,NONE,0,2019-06-14T12:38:40.811190
-3672.0,-4211.0,2996.0,1745.0,3646.0,1621.0,2579.0,0,0,0,NONE,0,2019-06-14T12:38:41.363880
-3660.0,-4190.0,2978.0,1713.0,3688.0,1643.0,2617.0,0,0,0,NONE,0,2019-06-14T12:38:41.947719
-3650.0,-4227.0,3000.0,1715.0,3604.0,1559.0,2606.0,0,0,0,NONE,0,2019-06-14T12:38:42.498931
-3630.0,-4191.0,2982.0,1778.0,3693.0,1630.0,2585.0,0,0,0,NONE,0,2019-06-14T12:38:43.083660
-3625.0,-4193.0,3036.0,1696.0,3631.0,1606.0,2574.0,0,0,0,NONE,0,2019-06-14T12:38:43.633626
-3615.0,-4185.0,2980.0,1717.0,3627.0,1648.0,2586.0,0,0,0,NONE,0,2019-06-14T12:38:44.219853
-3694.0,-4211.0,2990.0,1739.0,3654.0,1610.0,2630.0,0,0,0,NONE,0,2019-06-14T12:38:44.769112
-3639.0,-4207.0,2998.0,1723.0,3608.0,1587.0,2609.0,0,0,0,NONE,0,2019-06-14T12:38:45.355865
-3611.0,-4217.0,2963.0,1716.0,3592.0,1681.0,2617.0,0,0,0,NONE,0,2019-06-14T12:38:45.904114
-3642.0,-4273.0,2975.0,1763.0,3637.0,1647.0,2518.0,0,0,0,NONE,0,2019-06-14T12:38:46.492050
-3623.0,-4226.0,3059.0,1760.0,3660.0,1580.0,2565.0,0,0,0,NONE,0,2019-06-14T12:38:47.039188
-3620.0,-4232.0,3012.0,1654.0,3616.0,1669.0,2511.0,0,0,0,NONE,0,2019-06-14T12:38:47.628055
-3565.0,-4222.0,3009.0,1734.0,3637.0,1747.0,2589.0,0,0,0,NONE,0,2019-06-14T12:38:48.174361
-3567.0,-4222.0,2970.0,1731.0,3659.0,1681.0,2544.0,0,0,0,NONE,0,2019-06-14T12:38:48.764265
-3620.0,-4206.0,2954.0,1731.0,3648.0,1707.0,2479.0,0,0,0,NONE,0,2019-06-14T12:38:49.309606
-3559.0,-4231.0,3042.0,1701.0,3639.0,1689.0,2508.0,0,0,0,NONE,0,2019-06-14T12:38:49.900339
-3622.0,-4248.0,2986.0,1683.0,3682.0,1722.0,2538.0,0,0,0,NONE,0,2019-06-14T12:38:50.444804
-3590.0,-4220.0,3031.0,1698.0,3684.0,1750.0,2485.0,0,0,0,NONE,0,2019-06-14T12:38:51.036424
-3649.0,-4232.0,3030.0,1665.0,3745.0,1812.0,2493.0,0,0,0,NONE,0,2019-06-14T12:38:51.579971
