seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1855.0,6186.0,5989.0,-1963.0,-991.0,-3391.0,-1903.0,0,0,0,NONE,0,2019-06-14T16:02:42.736919
-1883.0,6136.0,6040.0,-1991.0,-962.0,-3320.0,-1819.0,0,0,0,NONE,0,2019-06-14T16:02:43.328975
-1857.0,6097.0,5953.0,-2018.0,-957.0,-3459.0,-1885.0,0,0,0,NONE,0,2019-06-14T16:02:43.873526
-1914.0,6112.0,6070.0,-1992.0,-917.0,-3417.0,-1818.0,0,0,0,NONE,0,2019-06-14T16:02:44.465858
-1916.0,6134.0,6017.0,-2047.0,-863.0,-3471.0,-1783.0,0,0,0,NONE,0,2019-06-14T16:02:45.008887
-1947.0,6116.0,6004.0,-2005.0,-984.0,-3516.0,-1819.0,0,0,0,NONE,0,2019-06-14T16:02:45.602549
-1959.0,6127.0,6059.0,-2053.0,-951.0,-3545.0,-1772.0,0,0,0,NONE,0,2019-06-14T16:02:46.145294
-1938.0,6080.0,6021.0,-2027.0,-917.0,-3483.0,-1754.0,0,0,0,NONE,0,2019-06-14T16:02:46.739891
-1900.0,6142.0,5976.0,-2038.0,-941.0,-3491.0,-1725.0,0,0,0,NONE,0,2019-06-14T16:02:47.280979
-1932.0,6080.0,6003.0,-2028.0,-917.0,-3511.0,-1710.0,0,0,0,NONE,0,2019-06-14T16:02:47.876568
-1916.0,6060.0,6012.0,-2049.0,-962.0,-3526.0,-1766.0,0,0,0,NONE,0,2019-06-14T16:02:48.416250
-1877.0,6137.0,6031.0,-2081.0,-1005.0,-3515.0,-1706.0,0,0,0,NONE,0,2019-06-14T16:02:49.013271
-1864.0,6116.0,6033.0,-2165.0,-942.0,-3496.0,-1674.0,0,0,0,NONE,0,2019-06-14T16:02:49.552933
-1838.0,6104.0,6021.0,-2144.0,-1011.0,-3484.0,-1703.0,0,0,0,NONE,0,2019-06-14T16:02:50.150711
-1885.0,6070.0,6009.0,-2071.0,-1021.0,-3408.0,-1738.0,0,0,0,NONE,0,2019-06-14T16:02:50.688271
-1857.0,6105.0,6081.0,-2114.0,-1001.0,-3486.0,-1703.0,0,0,0,NONE,0,2019-06-14T16:02:51.286994
-1824.0,6106.0,6042.0,-2134.0,-1036.0,-3501.0,-1796.0,0,0,0,NONE,0,2019-06-14T16:02:51.824485
-1832.0,6114.0,6046.0,-2084.0,-1008.0,-3501.0,-1669.0,0,0,0,NONE,0,2019-06-14T16:02:52.424040
-1845.0,6072.0,6129.0,-2103.0,-1126.0,-3483.0,-1698.0,0,0,0,NONE,0,2019-06-14T16:02:52.960910
-1894.0,6093.0,6084.0,-2133.0,-1027.0,-3523.0,-1754.0,0,0,0,NONE,0,2019-06-14T16:02:53.561155
