seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5705.0,857.0,2409.0,-3858.0,8407.0,12463.0,-7032.0,0,0,0,NONE,0,2019-06-14T15:17:03.167198
-5740.0,757.0,2430.0,-3857.0,8453.0,12442.0,-7059.0,0,0,0,NONE,0,2019-06-14T15:17:03.764285
-5829.0,838.0,2435.0,-3879.0,8372.0,12473.0,-7102.0,0,0,0,NONE,0,2019-06-14T15:17:04.303828
-5830.0,790.0,2424.0,-3792.0,8474.0,12530.0,-7109.0,0,0,0,NONE,0,2019-06-14T15:17:04.900565
-5778.0,801.0,2417.0,-3856.0,8435.0,12531.0,-7116.0,0,0,0,NONE,0,2019-06-14T15:17:05.438677
-5830.0,812.0,2373.0,-3895.0,8426.0,12500.0,-7181.0,0,0,0,NONE,0,2019-06-14T15:17:06.037569
-5781.0,813.0,2428.0,-3899.0,8503.0,12482.0,-7147.0,0,0,0,NONE,0,2019-06-14T15:17:06.574752
-5836.0,810.0,2367.0,-3914.0,8483.0,12502.0,-7152.0,0,0,0,NONE,0,2019-06-14T15:17:07.173756
-5845.0,747.0,2332.0,-3944.0,8469.0,12483.0,-7109.0,0,0,0,NONE,0,2019-06-14T15:17:07.709587
-5837.0,763.0,2404.0,-3877.0,8495.0,12503.0,-7165.0,0,0,0,NONE,0,2019-06-14T15:17:08.310217
-5829.0,757.0,2399.0,-3947.0,8526.0,12577.0,-7161.0,0,0,0,NONE,0,2019-06-14T15:17:08.844259
-5835.0,750.0,2416.0,-3909.0,8509.0,12551.0,-7149.0,0,0,0,NONE,0,2019-06-14T15:17:09.446488
-5863.0,730.0,2359.0,-3942.0,8531.0,12585.0,-7166.0,0,0,0,NONE,0,2019-06-14T15:17:09.979866
-5911.0,736.0,2379.0,-3846.0,8579.0,12600.0,-7218.0,0,0,0,NONE,0,2019-06-14T15:17:10.582399
-5858.0,757.0,2347.0,-3922.0,8524.0,12575.0,-7212.0,0,0,0,NONE,0,2019-06-14T15:17:11.115440
-5841.0,724.0,2353.0,-3874.0,8568.0,12616.0,-7271.0,0,0,0,NONE,0,2019-06-14T15:17:11.719302
-5845.0,721.0,2327.0,-3935.0,8494.0,12616.0,-7216.0,0,0,0,NONE,0,2019-06-14T15:17:12.251683
-5888.0,631.0,2366.0,-3925.0,8542.0,12596.0,-7271.0,0,0,0,NONE,0,2019-06-14T15:17:12.855823
-5856.0,700.0,2329.0,-3955.0,8548.0,12584.0,-7307.0,0,0,0,NONE,0,2019-06-14T15:17:13.386624
-5882.0,683.0,2328.0,-3964.0,8596.0,12688.0,-7276.0,0,0,0,NONE,0,2019-06-14T15:17:13.991670
