seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4567.0,5525.0,3837.0,-604.0,-749.0,-1936.0,-1442.0,0,0,0,NONE,0,2019-06-14T16:20:46.554428
-4562.0,5599.0,3879.0,-646.0,-679.0,-1942.0,-1460.0,0,0,0,NONE,0,2019-06-14T16:20:47.112730
-4573.0,5577.0,3887.0,-646.0,-685.0,-1905.0,-1485.0,0,0,0,NONE,0,2019-06-14T16:20:47.691277
-4582.0,5589.0,3855.0,-636.0,-742.0,-1972.0,-1468.0,0,0,0,NONE,0,2019-06-14T16:20:48.248440
-4590.0,5594.0,3888.0,-689.0,-712.0,-1931.0,-1421.0,0,0,0,NONE,0,2019-06-14T16:20:48.828635
-4533.0,5553.0,3821.0,-608.0,-703.0,-1932.0,-1403.0,0,0,0,NONE,0,2019-06-14T16:20:49.384948
-4588.0,5579.0,3810.0,-669.0,-688.0,-1910.0,-1399.0,0,0,0,NONE,0,2019-06-14T16:20:49.965603
-4505.0,5593.0,3897.0,-669.0,-651.0,-1879.0,-1433.0,0,0,0,NONE,0,2019-06-14T16:20:50.520821
-4589.0,5603.0,3832.0,-639.0,-634.0,-1943.0,-1493.0,0,0,0,NONE,0,2019-06-14T16:20:51.101837
-4525.0,5581.0,3907.0,-675.0,-736.0,-1965.0,-1469.0,0,0,0,NONE,0,2019-06-14T16:20:51.656566
-4556.0,5544.0,3936.0,-633.0,-673.0,-1876.0,-1402.0,0,0,0,NONE,0,2019-06-14T16:20:52.239174
-4518.0,5581.0,3917.0,-684.0,-669.0,-1886.0,-1456.0,0,0,0,NONE,0,2019-06-14T16:20:52.793459
-4477.0,5556.0,3925.0,-700.0,-667.0,-1875.0,-1438.0,0,0,0,NONE,0,2019-06-14T16:20:53.375380
-4545.0,5657.0,3916.0,-626.0,-692.0,-1858.0,-1447.0,0,0,0,NONE,0,2019-06-14T16:20:53.928684
-4470.0,5597.0,3893.0,-711.0,-742.0,-1908.0,-1401.0,0,0,0,NONE,0,2019-06-14T16:20:54.513037
-4467.0,5544.0,3892.0,-662.0,-698.0,-1833.0,-1365.0,0,0,0,NONE,0,2019-06-14T16:20:55.065523
-4518.0,5579.0,3887.0,-683.0,-645.0,-1902.0,-1404.0,0,0,0,NONE,0,2019-06-14T16:20:55.648976
-4481.0,5561.0,3862.0,-698.0,-669.0,-1843.0,-1506.0,0,0,0,NONE,0,2019-06-14T16:20:56.201264
-4514.0,5640.0,3981.0,-698.0,-671.0,-1853.0,-1384.0,0,0,0,NONE,0,2019-06-14T16:20:56.785542
-4452.0,5598.0,3952.0,-707.0,-643.0,-1878.0,-1441.0,0,0,0,NONE,0,2019-06-14T16:20:57.337232
