seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3242.0,5825.0,4632.0,-1676.0,-435.0,-2687.0,-2372.0,0,0,0,NONE,0,2019-06-14T16:52:39.668152
-3226.0,5803.0,4653.0,-1645.0,-474.0,-2762.0,-2431.0,0,0,0,NONE,0,2019-06-14T16:52:40.236455
-3162.0,5836.0,4632.0,-1702.0,-487.0,-2737.0,-2463.0,0,0,0,NONE,0,2019-06-14T16:52:40.804905
-3157.0,5829.0,4585.0,-1673.0,-465.0,-2730.0,-2465.0,0,0,0,NONE,0,2019-06-14T16:52:41.372885
-3199.0,5863.0,4625.0,-1681.0,-467.0,-2754.0,-2420.0,0,0,0,NONE,0,2019-06-14T16:52:41.941931
-3205.0,5786.0,4630.0,-1680.0,-419.0,-2779.0,-2488.0,0,0,0,NONE,0,2019-06-14T16:52:42.509773
-3216.0,5797.0,4624.0,-1658.0,-469.0,-2738.0,-2466.0,0,0,0,NONE,0,2019-06-14T16:52:43.078207
-3168.0,5824.0,4622.0,-1646.0,-420.0,-2710.0,-2534.0,0,0,0,NONE,0,2019-06-14T16:52:43.646308
-3169.0,5853.0,4590.0,-1624.0,-482.0,-2721.0,-2519.0,0,0,0,NONE,0,2019-06-14T16:52:44.214521
-3134.0,5798.0,4651.0,-1662.0,-463.0,-2747.0,-2492.0,0,0,0,NONE,0,2019-06-14T16:52:44.781178
-3196.0,5804.0,4596.0,-1663.0,-521.0,-2859.0,-2536.0,0,0,0,NONE,0,2019-06-14T16:52:45.349245
-3138.0,5795.0,4635.0,-1751.0,-461.0,-2742.0,-2486.0,0,0,0,NONE,0,2019-06-14T16:52:45.917692
-3142.0,5817.0,4613.0,-1704.0,-495.0,-2783.0,-2528.0,0,0,0,NONE,0,2019-06-14T16:52:46.486385
-3188.0,5854.0,4616.0,-1703.0,-474.0,-2784.0,-2534.0,0,0,0,NONE,0,2019-06-14T16:52:47.054554
-3154.0,5778.0,4629.0,-1712.0,-468.0,-2810.0,-2549.0,0,0,0,NONE,0,2019-06-14T16:52:47.623080
-3141.0,5837.0,4600.0,-1729.0,-497.0,-2767.0,-2544.0,0,0,0,NONE,0,2019-06-14T16:52:48.190528
-3172.0,5856.0,4657.0,-1713.0,-546.0,-2795.0,-2575.0,0,0,0,NONE,0,2019-06-14T16:52:48.758919
-3200.0,5832.0,4632.0,-1727.0,-484.0,-2842.0,-2576.0,0,0,0,NONE,0,2019-06-14T16:52:49.327707
-3155.0,5779.0,4631.0,-1763.0,-542.0,-2854.0,-2551.0,0,0,0,NONE,0,2019-06-14T16:52:49.896655
-3176.0,5821.0,4616.0,-1720.0,-413.0,-2781.0,-2627.0,0,0,0,NONE,0,2019-06-14T16:52:50.462393
