seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3962.0,14607.0,5944.0,-1738.0,-22575.0,-9901.0,8237.0,0,0,0,NONE,0,2019-06-14T16:35:55.231367
3961.0,14591.0,5966.0,-1663.0,-22631.0,-9877.0,8219.0,0,0,0,NONE,0,2019-06-14T16:35:55.779465
3957.0,14591.0,5977.0,-1644.0,-22665.0,-9862.0,8310.0,0,0,0,NONE,0,2019-06-14T16:35:56.368108
3923.0,14602.0,6012.0,-1694.0,-22606.0,-9937.0,8304.0,0,0,0,NONE,0,2019-06-14T16:35:56.914745
3934.0,14587.0,6059.0,-1660.0,-22682.0,-9916.0,8253.0,0,0,0,NONE,0,2019-06-14T16:35:57.505266
3903.0,14583.0,6018.0,-1687.0,-22635.0,-9936.0,8302.0,0,0,0,NONE,0,2019-06-14T16:35:58.050657
3884.0,14592.0,6090.0,-1647.0,-22638.0,-9928.0,8296.0,0,0,0,NONE,0,2019-06-14T16:35:58.642255
3941.0,14580.0,6113.0,-1660.0,-22619.0,-9935.0,8360.0,0,0,0,NONE,0,2019-06-14T16:35:59.186780
3935.0,14643.0,6126.0,-1692.0,-22605.0,-9903.0,8380.0,0,0,0,NONE,0,2019-06-14T16:35:59.778561
3835.0,14651.0,6113.0,-1650.0,-22634.0,-9910.0,8382.0,0,0,0,NONE,0,2019-06-14T16:36:00.322000
3893.0,14660.0,6148.0,-1567.0,-22695.0,-9874.0,8419.0,0,0,0,NONE,0,2019-06-14T16:36:00.915186
3866.0,14652.0,6160.0,-1584.0,-22612.0,-9878.0,8395.0,0,0,0,NONE,0,2019-06-14T16:36:01.458489
3916.0,14722.0,6166.0,-1591.0,-22560.0,-9890.0,8376.0,0,0,0,NONE,0,2019-06-14T16:36:02.052647
3876.0,14708.0,6178.0,-1574.0,-22577.0,-10014.0,8329.0,0,0,0,NONE,0,2019-06-14T16:36:02.592753
3846.0,14766.0,6156.0,-1532.0,-22656.0,-9917.0,8460.0,0,0,0,NONE,0,2019-06-14T16:36:03.188878
3889.0,14712.0,6179.0,-1553.0,-22575.0,-9944.0,8363.0,0,0,0,NONE,0,2019-06-14T16:36:03.729400
3877.0,14807.0,6214.0,-1526.0,-22612.0,-9955.0,8449.0,0,0,0,NONE,0,2019-06-14T16:36:04.325443
3864.0,14801.0,6231.0,-1604.0,-22569.0,-9994.0,8474.0,0,0,0,NONE,0,2019-06-14T16:36:04.864635
3907.0,14818.0,6250.0,-1551.0,-22598.0,-9980.0,8466.0,0,0,0,NONE,0,2019-06-14T16:36:05.462039
3896.0,14859.0,6322.0,-1548.0,-22586.0,-9902.0,8447.0,0,0,0,NONE,0,2019-06-14T16:36:06.000045
