seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-616.0,3625.0,2974.0,-5321.0,-1877.0,3478.0,-3096.0,0,0,0,NONE,0,2019-06-14T15:11:11.249450
-477.0,3606.0,2997.0,-5321.0,-1875.0,3550.0,-3111.0,0,0,0,NONE,0,2019-06-14T15:11:11.817887
-483.0,3619.0,3019.0,-5341.0,-1989.0,3511.0,-3075.0,0,0,0,NONE,0,2019-06-14T15:11:12.385716
-428.0,3595.0,3063.0,-5370.0,-2044.0,3596.0,-3070.0,0,0,0,NONE,0,2019-06-14T15:11:12.952075
-426.0,3620.0,3071.0,-5414.0,-2071.0,3646.0,-3093.0,0,0,0,NONE,0,2019-06-14T15:11:13.522628
-322.0,3587.0,3142.0,-5405.0,-1963.0,3650.0,-3120.0,0,0,0,NONE,0,2019-06-14T15:11:14.087440
-282.0,3567.0,3155.0,-5396.0,-2092.0,3691.0,-3042.0,0,0,0,NONE,0,2019-06-14T15:11:14.658027
-208.0,3595.0,3202.0,-5395.0,-2146.0,3757.0,-3071.0,0,0,0,NONE,0,2019-06-14T15:11:15.223458
-215.0,3584.0,3292.0,-5383.0,-2127.0,3766.0,-3101.0,0,0,0,NONE,0,2019-06-14T15:11:15.794581
-243.0,3611.0,3287.0,-5432.0,-2230.0,3796.0,-3073.0,0,0,0,NONE,0,2019-06-14T15:11:16.358655
-191.0,3656.0,3319.0,-5422.0,-2268.0,3810.0,-3065.0,0,0,0,NONE,0,2019-06-14T15:11:16.929753
-185.0,3664.0,3422.0,-5393.0,-2214.0,3747.0,-3050.0,0,0,0,NONE,0,2019-06-14T15:11:17.494036
-105.0,3667.0,3355.0,-5428.0,-2302.0,3733.0,-3001.0,0,0,0,NONE,0,2019-06-14T15:11:18.066059
-135.0,3703.0,3387.0,-5336.0,-2342.0,3736.0,-2991.0,0,0,0,NONE,0,2019-06-14T15:11:18.628184
-96.0,3675.0,3351.0,-5431.0,-2419.0,3769.0,-3010.0,0,0,0,NONE,0,2019-06-14T15:11:19.202597
-44.0,3749.0,3466.0,-5410.0,-2375.0,3666.0,-2986.0,0,0,0,NONE,0,2019-06-14T15:11:19.763523
15.0,3755.0,3444.0,-5419.0,-2397.0,3552.0,-2928.0,0,0,0,NONE,0,2019-06-14T15:11:20.338348
83.0,3777.0,3443.0,-5481.0,-2360.0,3610.0,-2944.0,0,0,0,NONE,0,2019-06-14T15:11:20.898866
139.0,3727.0,3489.0,-5510.0,-2431.0,3484.0,-2922.0,0,0,0,NONE,0,2019-06-14T15:11:21.474226
210.0,3777.0,3492.0,-5426.0,-2504.0,3425.0,-2774.0,0,0,0,NONE,0,2019-06-14T15:11:22.034863
