seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4409.0,-1750.0,4271.0,-5623.0,19523.0,10489.0,-14241.0,0,0,0,NONE,0,2019-06-14T14:30:58.179739
-4378.0,-1617.0,4240.0,-5612.0,19523.0,10565.0,-14209.0,0,0,0,NONE,0,2019-06-14T14:30:58.744749
-4420.0,-1666.0,4193.0,-5664.0,19510.0,10451.0,-14204.0,0,0,0,NONE,0,2019-06-14T14:30:59.316909
-4362.0,-1605.0,4167.0,-5620.0,19475.0,10423.0,-14169.0,0,0,0,NONE,0,2019-06-14T14:30:59.879451
-4342.0,-1588.0,4165.0,-5706.0,19510.0,10407.0,-14176.0,0,0,0,NONE,0,2019-06-14T14:31:00.452344
-4332.0,-1585.0,4121.0,-5723.0,19471.0,10346.0,-14213.0,0,0,0,NONE,0,2019-06-14T14:31:01.014892
-4326.0,-1577.0,4080.0,-5771.0,19435.0,10234.0,-14160.0,0,0,0,NONE,0,2019-06-14T14:31:01.589372
-4309.0,-1521.0,4040.0,-5754.0,19450.0,10241.0,-14130.0,0,0,0,NONE,0,2019-06-14T14:31:02.150176
-4345.0,-1471.0,4106.0,-5851.0,19410.0,10156.0,-14117.0,0,0,0,NONE,0,2019-06-14T14:31:02.725626
-4274.0,-1469.0,4050.0,-5808.0,19366.0,10135.0,-14124.0,0,0,0,NONE,0,2019-06-14T14:31:03.285726
-4328.0,-1369.0,3994.0,-5845.0,19399.0,10044.0,-14122.0,0,0,0,NONE,0,2019-06-14T14:31:03.861762
-4326.0,-1428.0,4022.0,-5899.0,19313.0,10062.0,-14032.0,0,0,0,NONE,0,2019-06-14T14:31:04.421097
-4325.0,-1353.0,3949.0,-5967.0,19331.0,9936.0,-14149.0,0,0,0,NONE,0,2019-06-14T14:31:04.997947
-4266.0,-1294.0,3970.0,-5946.0,19322.0,9886.0,-14079.0,0,0,0,NONE,0,2019-06-14T14:31:05.556606
-4262.0,-1294.0,3946.0,-5990.0,19310.0,9815.0,-13986.0,0,0,0,NONE,0,2019-06-14T14:31:06.134114
-4296.0,-1243.0,3934.0,-6017.0,19271.0,9722.0,-14011.0,0,0,0,NONE,0,2019-06-14T14:31:06.692087
-4260.0,-1180.0,3896.0,-5971.0,19235.0,9652.0,-13983.0,0,0,0,NONE,0,2019-06-14T14:31:07.270283
-4260.0,-1199.0,3874.0,-6040.0,19219.0,9616.0,-13919.0,0,0,0,NONE,0,2019-06-14T14:31:07.827663
-4308.0,-1052.0,3862.0,-6018.0,19180.0,9605.0,-13914.0,0,0,0,NONE,0,2019-06-14T14:31:08.407150
-4221.0,-1040.0,3850.0,-6064.0,19153.0,9488.0,-13857.0,0,0,0,NONE,0,2019-06-14T14:31:08.962447
