seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1973.0,2709.0,2970.0,-7010.0,12789.0,5200.0,-12266.0,0,0,0,NONE,0,2019-06-14T14:32:06.299540
-1953.0,2707.0,2914.0,-7077.0,12729.0,5197.0,-12225.0,0,0,0,NONE,0,2019-06-14T14:32:06.872436
-1864.0,2782.0,2935.0,-7119.0,12619.0,5157.0,-12242.0,0,0,0,NONE,0,2019-06-14T14:32:07.436633
-1835.0,2797.0,2943.0,-7122.0,12611.0,5200.0,-12225.0,0,0,0,NONE,0,2019-06-14T14:32:08.007767
-1850.0,2770.0,2947.0,-7133.0,12469.0,5183.0,-12256.0,0,0,0,NONE,0,2019-06-14T14:32:08.570986
-1817.0,2795.0,2955.0,-7139.0,12445.0,5204.0,-12227.0,0,0,0,NONE,0,2019-06-14T14:32:09.144250
-1820.0,2852.0,2930.0,-7131.0,12364.0,5146.0,-12189.0,0,0,0,NONE,0,2019-06-14T14:32:09.707068
-1728.0,2859.0,2977.0,-7181.0,12348.0,5113.0,-12171.0,0,0,0,NONE,0,2019-06-14T14:32:10.280749
-1724.0,2900.0,2961.0,-7156.0,12336.0,5073.0,-12113.0,0,0,0,NONE,0,2019-06-14T14:32:10.842571
-1790.0,2981.0,2887.0,-7134.0,12236.0,5102.0,-12119.0,0,0,0,NONE,0,2019-06-14T14:32:11.417039
-1697.0,2941.0,2930.0,-7147.0,12198.0,5114.0,-12084.0,0,0,0,NONE,0,2019-06-14T14:32:11.977392
-1651.0,3019.0,2963.0,-7051.0,12071.0,5107.0,-12099.0,0,0,0,NONE,0,2019-06-14T14:32:12.553324
-1642.0,3045.0,2967.0,-7116.0,11999.0,5073.0,-12038.0,0,0,0,NONE,0,2019-06-14T14:32:13.114147
-1654.0,3091.0,2895.0,-7104.0,12050.0,5045.0,-11984.0,0,0,0,NONE,0,2019-06-14T14:32:13.689291
-1649.0,3158.0,2941.0,-7055.0,11954.0,4958.0,-11939.0,0,0,0,NONE,0,2019-06-14T14:32:14.249185
-1632.0,3178.0,2949.0,-7117.0,11915.0,4948.0,-11920.0,0,0,0,NONE,0,2019-06-14T14:32:14.825980
-1645.0,3202.0,2917.0,-7089.0,11864.0,4904.0,-11936.0,0,0,0,NONE,0,2019-06-14T14:32:15.384477
-1563.0,3226.0,2892.0,-7043.0,11827.0,4990.0,-11975.0,0,0,0,NONE,0,2019-06-14T14:32:15.962410
-1621.0,3282.0,2871.0,-7030.0,11780.0,4964.0,-11920.0,0,0,0,NONE,0,2019-06-14T14:32:16.520025
-1609.0,3348.0,2909.0,-6997.0,11722.0,4942.0,-11888.0,0,0,0,NONE,0,2019-06-14T14:32:17.098562
