seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6918.0,-609.0,1200.0,-4531.0,9255.0,15215.0,-11504.0,0,0,0,NONE,0,2019-06-14T15:21:01.641491
-6986.0,-559.0,1170.0,-4531.0,9209.0,15225.0,-11513.0,0,0,0,NONE,0,2019-06-14T15:21:02.211115
-6865.0,-623.0,1226.0,-4558.0,9134.0,15223.0,-11572.0,0,0,0,NONE,0,2019-06-14T15:21:02.777581
-6929.0,-545.0,1224.0,-4590.0,9103.0,15210.0,-11530.0,0,0,0,NONE,0,2019-06-14T15:21:03.348563
-6971.0,-556.0,1125.0,-4591.0,9146.0,15273.0,-11558.0,0,0,0,NONE,0,2019-06-14T15:21:03.913031
-6860.0,-557.0,1158.0,-4611.0,9158.0,15245.0,-11523.0,0,0,0,NONE,0,2019-06-14T15:21:04.485229
-6909.0,-568.0,1195.0,-4578.0,9141.0,15299.0,-11589.0,0,0,0,NONE,0,2019-06-14T15:21:05.049239
-6884.0,-613.0,1185.0,-4621.0,9188.0,15299.0,-11546.0,0,0,0,NONE,0,2019-06-14T15:21:05.621613
-6954.0,-617.0,1162.0,-4601.0,9243.0,15315.0,-11551.0,0,0,0,NONE,0,2019-06-14T15:21:06.186265
-6891.0,-624.0,1179.0,-4626.0,9141.0,15348.0,-11628.0,0,0,0,NONE,0,2019-06-14T15:21:06.757847
-6881.0,-593.0,1141.0,-4628.0,9199.0,15372.0,-11608.0,0,0,0,NONE,0,2019-06-14T15:21:07.321321
-6886.0,-622.0,1176.0,-4605.0,9149.0,15367.0,-11623.0,0,0,0,NONE,0,2019-06-14T15:21:07.894013
-6845.0,-631.0,1154.0,-4576.0,9194.0,15348.0,-11627.0,0,0,0,NONE,0,2019-06-14T15:21:08.457955
-6837.0,-598.0,1171.0,-4654.0,9130.0,15401.0,-11535.0,0,0,0,NONE,0,2019-06-14T15:21:09.031199
-6887.0,-629.0,1170.0,-4605.0,9148.0,15365.0,-11630.0,0,0,0,NONE,0,2019-06-14T15:21:09.592924
-6858.0,-622.0,1102.0,-4645.0,9195.0,15441.0,-11618.0,0,0,0,NONE,0,2019-06-14T15:21:10.167341
-6812.0,-613.0,1163.0,-4672.0,9134.0,15390.0,-11665.0,0,0,0,NONE,0,2019-06-14T15:21:10.728912
-6825.0,-608.0,1213.0,-4590.0,9233.0,15397.0,-11657.0,0,0,0,NONE,0,2019-06-14T15:21:11.303824
-6790.0,-582.0,1186.0,-4672.0,9127.0,15402.0,-11634.0,0,0,0,NONE,0,2019-06-14T15:21:11.864925
-6751.0,-614.0,1182.0,-4631.0,9148.0,15441.0,-11714.0,0,0,0,NONE,0,2019-06-14T15:21:12.440323
