seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5910.0,-554.0,1337.0,-5133.0,9717.0,15285.0,-13532.0,0,0,0,NONE,0,2019-06-14T15:24:48.821073
-5944.0,-587.0,1357.0,-5151.0,9735.0,15264.0,-13517.0,0,0,0,NONE,0,2019-06-14T15:24:49.369416
-5947.0,-545.0,1367.0,-5172.0,9742.0,15246.0,-13487.0,0,0,0,NONE,0,2019-06-14T15:24:49.958173
-5888.0,-580.0,1377.0,-5193.0,9734.0,15312.0,-13519.0,0,0,0,NONE,0,2019-06-14T15:24:50.502405
-5940.0,-586.0,1373.0,-5173.0,9772.0,15291.0,-13566.0,0,0,0,NONE,0,2019-06-14T15:24:51.094656
-5901.0,-556.0,1329.0,-5120.0,9731.0,15220.0,-13535.0,0,0,0,NONE,0,2019-06-14T15:24:51.638601
-5875.0,-514.0,1291.0,-5206.0,9756.0,15193.0,-13556.0,0,0,0,NONE,0,2019-06-14T15:24:52.231415
-5892.0,-554.0,1334.0,-5181.0,9780.0,15259.0,-13553.0,0,0,0,NONE,0,2019-06-14T15:24:52.774360
-5864.0,-548.0,1378.0,-5204.0,9759.0,15259.0,-13512.0,0,0,0,NONE,0,2019-06-14T15:24:53.368377
-5914.0,-595.0,1299.0,-5185.0,9757.0,15242.0,-13544.0,0,0,0,NONE,0,2019-06-14T15:24:53.909779
-5891.0,-580.0,1285.0,-5170.0,9752.0,15247.0,-13552.0,0,0,0,NONE,0,2019-06-14T15:24:54.505710
-5879.0,-530.0,1370.0,-5141.0,9786.0,15301.0,-13569.0,0,0,0,NONE,0,2019-06-14T15:24:55.047108
-5873.0,-512.0,1393.0,-5161.0,9746.0,15216.0,-13593.0,0,0,0,NONE,0,2019-06-14T15:24:55.641561
-5900.0,-575.0,1344.0,-5109.0,9779.0,15225.0,-13595.0,0,0,0,NONE,0,2019-06-14T15:24:56.183700
-5938.0,-529.0,1364.0,-5157.0,9807.0,15272.0,-13608.0,0,0,0,NONE,0,2019-06-14T15:24:56.778308
-5881.0,-577.0,1367.0,-5215.0,9694.0,15245.0,-13643.0,0,0,0,NONE,0,2019-06-14T15:24:57.318267
-5853.0,-563.0,1338.0,-5173.0,9799.0,15236.0,-13680.0,0,0,0,NONE,0,2019-06-14T15:24:57.915261
-5849.0,-592.0,1372.0,-5224.0,9788.0,15229.0,-13611.0,0,0,0,NONE,0,2019-06-14T15:24:58.455232
-5882.0,-562.0,1389.0,-5196.0,9766.0,15260.0,-13620.0,0,0,0,NONE,0,2019-06-14T15:24:59.052196
-5923.0,-562.0,1351.0,-5179.0,9826.0,15216.0,-13679.0,0,0,0,NONE,0,2019-06-14T15:24:59.589860
