seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5897.0,665.0,2363.0,-3924.0,8599.0,12689.0,-7285.0,0,0,0,NONE,0,2019-06-14T15:17:14.520856
-5904.0,621.0,2307.0,-3949.0,8547.0,12685.0,-7279.0,0,0,0,NONE,0,2019-06-14T15:17:15.089039
-5910.0,649.0,2320.0,-3945.0,8633.0,12728.0,-7315.0,0,0,0,NONE,0,2019-06-14T15:17:15.657200
-5986.0,660.0,2363.0,-3955.0,8632.0,12683.0,-7283.0,0,0,0,NONE,0,2019-06-14T15:17:16.224951
-5984.0,630.0,2347.0,-3954.0,8614.0,12687.0,-7390.0,0,0,0,NONE,0,2019-06-14T15:17:16.792713
-5940.0,632.0,2296.0,-3927.0,8645.0,12723.0,-7390.0,0,0,0,NONE,0,2019-06-14T15:17:17.360868
-5984.0,581.0,2288.0,-3968.0,8633.0,12751.0,-7336.0,0,0,0,NONE,0,2019-06-14T15:17:17.927335
-5918.0,596.0,2300.0,-3938.0,8711.0,12769.0,-7460.0,0,0,0,NONE,0,2019-06-14T15:17:18.496780
-5899.0,598.0,2317.0,-3925.0,8707.0,12759.0,-7440.0,0,0,0,NONE,0,2019-06-14T15:17:19.064240
-5995.0,557.0,2348.0,-3955.0,8681.0,12788.0,-7374.0,0,0,0,NONE,0,2019-06-14T15:17:19.630381
-5941.0,633.0,2271.0,-3946.0,8707.0,12773.0,-7458.0,0,0,0,NONE,0,2019-06-14T15:17:20.199151
-5921.0,605.0,2286.0,-3952.0,8686.0,12804.0,-7467.0,0,0,0,NONE,0,2019-06-14T15:17:20.766609
-5969.0,582.0,2355.0,-3961.0,8738.0,12824.0,-7456.0,0,0,0,NONE,0,2019-06-14T15:17:21.335022
-5964.0,539.0,2279.0,-3923.0,8713.0,12830.0,-7492.0,0,0,0,NONE,0,2019-06-14T15:17:21.901181
-6054.0,538.0,2297.0,-3943.0,8719.0,12827.0,-7476.0,0,0,0,NONE,0,2019-06-14T15:17:22.469655
-5990.0,535.0,2377.0,-3981.0,8703.0,12889.0,-7557.0,0,0,0,NONE,0,2019-06-14T15:17:23.038842
-6007.0,593.0,2321.0,-4010.0,8681.0,12899.0,-7572.0,0,0,0,NONE,0,2019-06-14T15:17:23.606656
-5998.0,553.0,2283.0,-3962.0,8739.0,12902.0,-7552.0,0,0,0,NONE,0,2019-06-14T15:17:24.173443
-6077.0,562.0,2299.0,-3993.0,8754.0,12915.0,-7631.0,0,0,0,NONE,0,2019-06-14T15:17:24.740170
-6018.0,498.0,2329.0,-3988.0,8838.0,12861.0,-7655.0,0,0,0,NONE,0,2019-06-14T15:17:25.309135
