seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4601.0,5791.0,3949.0,-1455.0,-402.0,-2572.0,-851.0,0,0,0,NONE,0,2019-06-14T16:48:29.691485
-4611.0,5794.0,3918.0,-1406.0,-412.0,-2571.0,-863.0,0,0,0,NONE,0,2019-06-14T16:48:30.259547
-4570.0,5832.0,4001.0,-1490.0,-482.0,-2599.0,-887.0,0,0,0,NONE,0,2019-06-14T16:48:30.828386
-4593.0,5818.0,4019.0,-1461.0,-429.0,-2519.0,-952.0,0,0,0,NONE,0,2019-06-14T16:48:31.395369
-4565.0,5869.0,3978.0,-1442.0,-418.0,-2537.0,-885.0,0,0,0,NONE,0,2019-06-14T16:48:31.964140
-4559.0,5831.0,4031.0,-1463.0,-355.0,-2562.0,-934.0,0,0,0,NONE,0,2019-06-14T16:48:32.533037
-4645.0,5801.0,3991.0,-1453.0,-415.0,-2572.0,-1030.0,0,0,0,NONE,0,2019-06-14T16:48:33.100474
-4625.0,5782.0,4023.0,-1443.0,-388.0,-2559.0,-945.0,0,0,0,NONE,0,2019-06-14T16:48:33.668525
-4562.0,5820.0,4003.0,-1444.0,-451.0,-2583.0,-987.0,0,0,0,NONE,0,2019-06-14T16:48:34.237342
-4559.0,5829.0,4003.0,-1479.0,-453.0,-2584.0,-1014.0,0,0,0,NONE,0,2019-06-14T16:48:34.804466
-4527.0,5844.0,4018.0,-1418.0,-352.0,-2599.0,-1026.0,0,0,0,NONE,0,2019-06-14T16:48:35.372059
-4597.0,5782.0,4037.0,-1474.0,-399.0,-2625.0,-983.0,0,0,0,NONE,0,2019-06-14T16:48:35.940752
-4601.0,5821.0,4040.0,-1480.0,-453.0,-2611.0,-953.0,0,0,0,NONE,0,2019-06-14T16:48:36.509141
-4558.0,5837.0,3966.0,-1457.0,-450.0,-2555.0,-982.0,0,0,0,NONE,0,2019-06-14T16:48:37.076605
-4556.0,5857.0,4015.0,-1545.0,-486.0,-2593.0,-936.0,0,0,0,NONE,0,2019-06-14T16:48:37.645087
-4530.0,5793.0,3985.0,-1537.0,-452.0,-2606.0,-996.0,0,0,0,NONE,0,2019-06-14T16:48:38.212177
-4533.0,5851.0,4017.0,-1554.0,-497.0,-2656.0,-971.0,0,0,0,NONE,0,2019-06-14T16:48:38.781375
-4563.0,5832.0,4055.0,-1576.0,-424.0,-2591.0,-982.0,0,0,0,NONE,0,2019-06-14T16:48:39.348165
-4621.0,5793.0,4088.0,-1568.0,-466.0,-2659.0,-962.0,0,0,0,NONE,0,2019-06-14T16:48:39.916182
-4543.0,5841.0,4027.0,-1604.0,-478.0,-2696.0,-1019.0,0,0,0,NONE,0,2019-06-14T16:48:40.484998
