seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7089.0,-579.0,1205.0,-4457.0,9225.0,14984.0,-11384.0,0,0,0,NONE,0,2019-06-14T15:20:50.283169
-7136.0,-522.0,1206.0,-4449.0,9198.0,14988.0,-11311.0,0,0,0,NONE,0,2019-06-14T15:20:50.852734
-7039.0,-597.0,1265.0,-4476.0,9229.0,14971.0,-11370.0,0,0,0,NONE,0,2019-06-14T15:20:51.419584
-7101.0,-582.0,1154.0,-4527.0,9093.0,15016.0,-11433.0,0,0,0,NONE,0,2019-06-14T15:20:51.988860
-7084.0,-586.0,1184.0,-4510.0,9194.0,15023.0,-11392.0,0,0,0,NONE,0,2019-06-14T15:20:52.556454
-7049.0,-559.0,1197.0,-4476.0,9128.0,15042.0,-11433.0,0,0,0,NONE,0,2019-06-14T15:20:53.124205
-7064.0,-589.0,1202.0,-4514.0,9134.0,15064.0,-11409.0,0,0,0,NONE,0,2019-06-14T15:20:53.692552
-7051.0,-587.0,1220.0,-4488.0,9168.0,15066.0,-11402.0,0,0,0,NONE,0,2019-06-14T15:20:54.259641
-7046.0,-559.0,1206.0,-4556.0,9156.0,15082.0,-11390.0,0,0,0,NONE,0,2019-06-14T15:20:54.827892
-7038.0,-545.0,1227.0,-4533.0,9182.0,15113.0,-11440.0,0,0,0,NONE,0,2019-06-14T15:20:55.397649
-7035.0,-569.0,1248.0,-4547.0,9159.0,15001.0,-11440.0,0,0,0,NONE,0,2019-06-14T15:20:55.963680
-7034.0,-598.0,1241.0,-4484.0,9211.0,15056.0,-11405.0,0,0,0,NONE,0,2019-06-14T15:20:56.531320
-7024.0,-620.0,1142.0,-4578.0,9137.0,15141.0,-11470.0,0,0,0,NONE,0,2019-06-14T15:20:57.098814
-7009.0,-593.0,1185.0,-4518.0,9243.0,15112.0,-11478.0,0,0,0,NONE,0,2019-06-14T15:20:57.666971
-6926.0,-621.0,1204.0,-4536.0,9145.0,15141.0,-11444.0,0,0,0,NONE,0,2019-06-14T15:20:58.235656
-7026.0,-597.0,1181.0,-4576.0,9197.0,15155.0,-11477.0,0,0,0,NONE,0,2019-06-14T15:20:58.803006
-6986.0,-622.0,1139.0,-4570.0,9164.0,15139.0,-11493.0,0,0,0,NONE,0,2019-06-14T15:20:59.371538
-6981.0,-653.0,1202.0,-4529.0,9159.0,15195.0,-11495.0,0,0,0,NONE,0,2019-06-14T15:20:59.938229
-6990.0,-599.0,1187.0,-4545.0,9178.0,15187.0,-11431.0,0,0,0,NONE,0,2019-06-14T15:21:00.506551
-6989.0,-652.0,1177.0,-4554.0,9185.0,15232.0,-11513.0,0,0,0,NONE,0,2019-06-14T15:21:01.074919
