seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5421.0,1243.0,3158.0,-2340.0,16388.0,8130.0,-7717.0,0,0,0,NONE,0,2019-06-14T14:24:09.466335
-5452.0,1247.0,3148.0,-2446.0,16468.0,8155.0,-7701.0,0,0,0,NONE,0,2019-06-14T14:24:10.034792
-5400.0,1165.0,3198.0,-2444.0,16401.0,8103.0,-7732.0,0,0,0,NONE,0,2019-06-14T14:24:10.602784
-5430.0,1193.0,3185.0,-2454.0,16435.0,8136.0,-7779.0,0,0,0,NONE,0,2019-06-14T14:24:11.170664
-5538.0,1175.0,3185.0,-2473.0,16494.0,8122.0,-7806.0,0,0,0,NONE,0,2019-06-14T14:24:11.736578
-5574.0,1172.0,3167.0,-2401.0,16486.0,8146.0,-7786.0,0,0,0,NONE,0,2019-06-14T14:24:12.305593
-5491.0,1139.0,3163.0,-2463.0,16524.0,8176.0,-7811.0,0,0,0,NONE,0,2019-06-14T14:24:12.873020
-5435.0,1133.0,3177.0,-2455.0,16492.0,8154.0,-7841.0,0,0,0,NONE,0,2019-06-14T14:24:13.440423
-5475.0,1094.0,3164.0,-2461.0,16584.0,8164.0,-7861.0,0,0,0,NONE,0,2019-06-14T14:24:14.009436
-5520.0,1134.0,3186.0,-2466.0,16543.0,8215.0,-7878.0,0,0,0,NONE,0,2019-06-14T14:24:14.574122
-5507.0,1108.0,3203.0,-2452.0,16606.0,8184.0,-7917.0,0,0,0,NONE,0,2019-06-14T14:24:15.144957
-5506.0,1004.0,3181.0,-2511.0,16608.0,8126.0,-7898.0,0,0,0,NONE,0,2019-06-14T14:24:15.710610
-5494.0,1073.0,3154.0,-2468.0,16611.0,8253.0,-7931.0,0,0,0,NONE,0,2019-06-14T14:24:16.281569
-5569.0,1050.0,3129.0,-2459.0,16596.0,8216.0,-8033.0,0,0,0,NONE,0,2019-06-14T14:24:16.845706
-5557.0,1003.0,3175.0,-2504.0,16592.0,8187.0,-8028.0,0,0,0,NONE,0,2019-06-14T14:24:17.417673
-5519.0,1075.0,3190.0,-2532.0,16660.0,8285.0,-7954.0,0,0,0,NONE,0,2019-06-14T14:24:17.980723
-5561.0,1011.0,3184.0,-2490.0,16652.0,8263.0,-7970.0,0,0,0,NONE,0,2019-06-14T14:24:18.553523
-5571.0,1022.0,3164.0,-2550.0,16623.0,8202.0,-8040.0,0,0,0,NONE,0,2019-06-14T14:24:19.115854
-5535.0,1011.0,3249.0,-2548.0,16746.0,8225.0,-8072.0,0,0,0,NONE,0,2019-06-14T14:24:19.690218
-5572.0,992.0,3163.0,-2499.0,16631.0,8230.0,-8121.0,0,0,0,NONE,0,2019-06-14T14:24:20.251334
