seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4880.0,5575.0,3672.0,-390.0,-694.0,-1955.0,-1247.0,0,0,0,NONE,0,2019-06-14T16:20:23.823272
-4851.0,5593.0,3675.0,-368.0,-668.0,-1925.0,-1279.0,0,0,0,NONE,0,2019-06-14T16:20:24.392007
-4760.0,5523.0,3687.0,-383.0,-710.0,-1885.0,-1251.0,0,0,0,NONE,0,2019-06-14T16:20:24.960070
-4783.0,5559.0,3683.0,-347.0,-718.0,-1906.0,-1231.0,0,0,0,NONE,0,2019-06-14T16:20:25.527699
-4794.0,5562.0,3684.0,-401.0,-728.0,-1895.0,-1256.0,0,0,0,NONE,0,2019-06-14T16:20:26.095289
-4780.0,5554.0,3664.0,-423.0,-752.0,-1919.0,-1276.0,0,0,0,NONE,0,2019-06-14T16:20:26.663670
-4797.0,5525.0,3697.0,-446.0,-702.0,-1912.0,-1306.0,0,0,0,NONE,0,2019-06-14T16:20:27.231674
-4767.0,5576.0,3654.0,-398.0,-663.0,-1918.0,-1264.0,0,0,0,NONE,0,2019-06-14T16:20:27.799982
-4794.0,5519.0,3684.0,-393.0,-694.0,-1962.0,-1316.0,0,0,0,NONE,0,2019-06-14T16:20:28.368459
-4780.0,5541.0,3628.0,-336.0,-642.0,-1906.0,-1273.0,0,0,0,NONE,0,2019-06-14T16:20:28.936299
-4776.0,5532.0,3709.0,-439.0,-657.0,-1917.0,-1283.0,0,0,0,NONE,0,2019-06-14T16:20:29.504424
-4723.0,5549.0,3659.0,-450.0,-779.0,-1941.0,-1296.0,0,0,0,NONE,0,2019-06-14T16:20:30.072195
-4725.0,5580.0,3649.0,-493.0,-733.0,-1926.0,-1288.0,0,0,0,NONE,0,2019-06-14T16:20:30.641442
-4744.0,5606.0,3679.0,-506.0,-770.0,-1887.0,-1281.0,0,0,0,NONE,0,2019-06-14T16:20:31.208569
-4721.0,5564.0,3691.0,-494.0,-664.0,-1850.0,-1288.0,0,0,0,NONE,0,2019-06-14T16:20:31.776016
-4756.0,5603.0,3703.0,-493.0,-729.0,-1991.0,-1302.0,0,0,0,NONE,0,2019-06-14T16:20:32.343938
-4808.0,5575.0,3785.0,-469.0,-711.0,-1917.0,-1329.0,0,0,0,NONE,0,2019-06-14T16:20:32.912764
-4732.0,5548.0,3743.0,-475.0,-734.0,-1912.0,-1311.0,0,0,0,NONE,0,2019-06-14T16:20:33.480693
-4716.0,5618.0,3729.0,-501.0,-718.0,-1918.0,-1305.0,0,0,0,NONE,0,2019-06-14T16:20:34.049607
-4719.0,5538.0,3719.0,-489.0,-708.0,-1901.0,-1346.0,0,0,0,NONE,0,2019-06-14T16:20:34.616799
