seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5756.0,-1802.0,3872.0,-4388.0,19051.0,10662.0,-12780.0,0,0,0,NONE,0,2019-06-14T14:27:33.804523
-5777.0,-1770.0,3882.0,-4425.0,18973.0,10669.0,-12763.0,0,0,0,NONE,0,2019-06-14T14:27:34.382292
-5751.0,-1790.0,3905.0,-4367.0,19031.0,10681.0,-12787.0,0,0,0,NONE,0,2019-06-14T14:27:34.940073
-5727.0,-1757.0,3882.0,-4439.0,19033.0,10665.0,-12747.0,0,0,0,NONE,0,2019-06-14T14:27:35.518157
-5735.0,-1757.0,3880.0,-4433.0,19025.0,10626.0,-12772.0,0,0,0,NONE,0,2019-06-14T14:27:36.075235
-5744.0,-1794.0,3928.0,-4416.0,19016.0,10598.0,-12742.0,0,0,0,NONE,0,2019-06-14T14:27:36.654834
-5749.0,-1792.0,3860.0,-4441.0,19054.0,10599.0,-12829.0,0,0,0,NONE,0,2019-06-14T14:27:37.212121
-5684.0,-1749.0,3863.0,-4460.0,19030.0,10697.0,-12758.0,0,0,0,NONE,0,2019-06-14T14:27:37.790664
-5769.0,-1828.0,3904.0,-4392.0,19078.0,10688.0,-12824.0,0,0,0,NONE,0,2019-06-14T14:27:38.347397
-5760.0,-1748.0,3920.0,-4494.0,19060.0,10647.0,-12843.0,0,0,0,NONE,0,2019-06-14T14:27:38.926293
-5754.0,-1795.0,3903.0,-4481.0,19036.0,10641.0,-12868.0,0,0,0,NONE,0,2019-06-14T14:27:39.482730
-5778.0,-1787.0,3975.0,-4505.0,19048.0,10653.0,-12898.0,0,0,0,NONE,0,2019-06-14T14:27:40.063083
-5760.0,-1801.0,3944.0,-4483.0,19041.0,10654.0,-12876.0,0,0,0,NONE,0,2019-06-14T14:27:40.618035
-5727.0,-1805.0,3949.0,-4499.0,19044.0,10638.0,-12869.0,0,0,0,NONE,0,2019-06-14T14:27:41.199542
-5713.0,-1811.0,3924.0,-4512.0,19008.0,10663.0,-12882.0,0,0,0,NONE,0,2019-06-14T14:27:41.753462
-5691.0,-1815.0,3953.0,-4542.0,19072.0,10667.0,-12865.0,0,0,0,NONE,0,2019-06-14T14:27:42.335623
-5770.0,-1796.0,3947.0,-4403.0,19046.0,10683.0,-12845.0,0,0,0,NONE,0,2019-06-14T14:27:42.888919
-5691.0,-1859.0,3943.0,-4501.0,19064.0,10692.0,-12893.0,0,0,0,NONE,0,2019-06-14T14:27:43.472186
-5690.0,-1841.0,3933.0,-4509.0,19013.0,10653.0,-12927.0,0,0,0,NONE,0,2019-06-14T14:27:44.023671
-5734.0,-1865.0,3907.0,-4436.0,19086.0,10659.0,-12895.0,0,0,0,NONE,0,2019-06-14T14:27:44.608165
