seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1661.0,5834.0,6171.0,-2307.0,10.0,-3384.0,-1968.0,0,0,0,NONE,0,2019-06-14T16:00:37.782334
-1617.0,5861.0,6195.0,-2261.0,92.0,-3482.0,-1917.0,0,0,0,NONE,0,2019-06-14T16:00:38.370777
-1601.0,5858.0,6195.0,-2288.0,53.0,-3394.0,-1968.0,0,0,0,NONE,0,2019-06-14T16:00:38.918690
-1573.0,5826.0,6185.0,-2246.0,44.0,-3363.0,-1924.0,0,0,0,NONE,0,2019-06-14T16:00:39.507214
-1688.0,5870.0,6173.0,-2262.0,113.0,-3396.0,-1949.0,0,0,0,NONE,0,2019-06-14T16:00:40.055331
-1670.0,5856.0,6204.0,-2250.0,-19.0,-3412.0,-1927.0,0,0,0,NONE,0,2019-06-14T16:00:40.644961
-1627.0,5876.0,6156.0,-2247.0,73.0,-3377.0,-1932.0,0,0,0,NONE,0,2019-06-14T16:00:41.191563
-1618.0,5836.0,6213.0,-2276.0,62.0,-3400.0,-1905.0,0,0,0,NONE,0,2019-06-14T16:00:41.781826
-1591.0,5861.0,6175.0,-2288.0,45.0,-3442.0,-1913.0,0,0,0,NONE,0,2019-06-14T16:00:42.328354
-1592.0,5875.0,6195.0,-2271.0,44.0,-3414.0,-1911.0,0,0,0,NONE,0,2019-06-14T16:00:42.918008
-1647.0,5853.0,6207.0,-2287.0,27.0,-3398.0,-1891.0,0,0,0,NONE,0,2019-06-14T16:00:43.462985
-1680.0,5855.0,6240.0,-2309.0,-22.0,-3457.0,-1928.0,0,0,0,NONE,0,2019-06-14T16:00:44.055339
-1673.0,5836.0,6200.0,-2280.0,56.0,-3406.0,-1951.0,0,0,0,NONE,0,2019-06-14T16:00:44.600404
-1590.0,5851.0,6205.0,-2260.0,-46.0,-3409.0,-1953.0,0,0,0,NONE,0,2019-06-14T16:00:45.192188
-1614.0,5836.0,6174.0,-2297.0,41.0,-3430.0,-1990.0,0,0,0,NONE,0,2019-06-14T16:00:45.735803
-1575.0,5807.0,6229.0,-2236.0,22.0,-3406.0,-1932.0,0,0,0,NONE,0,2019-06-14T16:00:46.328997
-1556.0,5812.0,6188.0,-2284.0,6.0,-3461.0,-1906.0,0,0,0,NONE,0,2019-06-14T16:00:46.871908
-1565.0,5841.0,6184.0,-2295.0,27.0,-3429.0,-1975.0,0,0,0,NONE,0,2019-06-14T16:00:47.465833
-1618.0,5817.0,6222.0,-2258.0,-23.0,-3477.0,-1935.0,0,0,0,NONE,0,2019-06-14T16:00:48.008563
-1604.0,5841.0,6208.0,-2307.0,-7.0,-3428.0,-1939.0,0,0,0,NONE,0,2019-06-14T16:00:48.603609
