seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1837.0,6051.0,5987.0,-2245.0,-1040.0,-3328.0,-1661.0,0,0,0,NONE,0,2019-06-14T16:03:05.455084
-1870.0,6091.0,5999.0,-2238.0,-987.0,-3390.0,-1706.0,0,0,0,NONE,0,2019-06-14T16:03:06.023683
-1867.0,6119.0,6001.0,-2169.0,-1095.0,-3355.0,-1610.0,0,0,0,NONE,0,2019-06-14T16:03:06.593198
-1895.0,6089.0,5994.0,-2179.0,-1010.0,-3367.0,-1690.0,0,0,0,NONE,0,2019-06-14T16:03:07.159075
-1899.0,6071.0,5930.0,-2143.0,-965.0,-3410.0,-1662.0,0,0,0,NONE,0,2019-06-14T16:03:07.727623
-1867.0,6166.0,5978.0,-2194.0,-1033.0,-3388.0,-1685.0,0,0,0,NONE,0,2019-06-14T16:03:08.296418
-1808.0,6142.0,5939.0,-2143.0,-1009.0,-3359.0,-1645.0,0,0,0,NONE,0,2019-06-14T16:03:08.863290
-1839.0,6114.0,5978.0,-2164.0,-993.0,-3375.0,-1593.0,0,0,0,NONE,0,2019-06-14T16:03:09.431752
-1800.0,6204.0,5913.0,-2103.0,-1018.0,-3370.0,-1612.0,0,0,0,NONE,0,2019-06-14T16:03:09.999135
-1856.0,6151.0,5931.0,-2194.0,-1012.0,-3397.0,-1538.0,0,0,0,NONE,0,2019-06-14T16:03:10.567080
-1871.0,6183.0,5881.0,-2142.0,-1021.0,-3432.0,-1576.0,0,0,0,NONE,0,2019-06-14T16:03:11.136042
-1931.0,6185.0,5911.0,-2164.0,-1036.0,-3356.0,-1556.0,0,0,0,NONE,0,2019-06-14T16:03:11.703887
-1900.0,6164.0,5837.0,-2149.0,-1016.0,-3365.0,-1593.0,0,0,0,NONE,0,2019-06-14T16:03:12.272081
-1818.0,6170.0,5868.0,-2094.0,-1012.0,-3440.0,-1564.0,0,0,0,NONE,0,2019-06-14T16:03:12.839810
-1884.0,6219.0,5817.0,-2150.0,-1027.0,-3401.0,-1466.0,0,0,0,NONE,0,2019-06-14T16:03:13.407506
-1869.0,6179.0,5842.0,-2148.0,-972.0,-3477.0,-1460.0,0,0,0,NONE,0,2019-06-14T16:03:13.975514
-1937.0,6282.0,5852.0,-2177.0,-1001.0,-3561.0,-1460.0,0,0,0,NONE,0,2019-06-14T16:03:14.543773
-1882.0,6259.0,5861.0,-2210.0,-1005.0,-3605.0,-1426.0,0,0,0,NONE,0,2019-06-14T16:03:15.112983
-1888.0,6269.0,5847.0,-2229.0,-899.0,-3540.0,-1445.0,0,0,0,NONE,0,2019-06-14T16:03:15.680112
-1975.0,6276.0,5822.0,-2212.0,-977.0,-3688.0,-1370.0,0,0,0,NONE,0,2019-06-14T16:03:16.248148
