seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
1529.0,15082.0,1830.0,2511.0,-23399.0,-9917.0,10431.0,0,0,0,NONE,0,2019-06-14T16:08:34.807127
1536.0,15061.0,1770.0,2555.0,-23271.0,-9898.0,10385.0,0,0,0,NONE,0,2019-06-14T16:08:35.399086
1464.0,15082.0,1834.0,2566.0,-23282.0,-9918.0,10402.0,0,0,0,NONE,0,2019-06-14T16:08:35.943638
1527.0,15038.0,1818.0,2639.0,-23234.0,-9787.0,10426.0,0,0,0,NONE,0,2019-06-14T16:08:36.537033
1529.0,14922.0,1833.0,2655.0,-23136.0,-9792.0,10364.0,0,0,0,NONE,0,2019-06-14T16:08:37.078506
1470.0,14975.0,1905.0,2680.0,-23087.0,-9741.0,10394.0,0,0,0,NONE,0,2019-06-14T16:08:37.672288
1446.0,14898.0,1857.0,2657.0,-23002.0,-9695.0,10393.0,0,0,0,NONE,0,2019-06-14T16:08:38.214073
1466.0,14926.0,1868.0,2711.0,-22842.0,-9686.0,10474.0,0,0,0,NONE,0,2019-06-14T16:08:38.809640
1454.0,14893.0,1871.0,2714.0,-22803.0,-9589.0,10369.0,0,0,0,NONE,0,2019-06-14T16:08:39.349085
1444.0,14844.0,1867.0,2755.0,-22730.0,-9618.0,10405.0,0,0,0,NONE,0,2019-06-14T16:08:39.945297
1415.0,14853.0,1889.0,2760.0,-22685.0,-9587.0,10368.0,0,0,0,NONE,0,2019-06-14T16:08:40.484595
1453.0,14862.0,1921.0,2787.0,-22568.0,-9505.0,10463.0,0,0,0,NONE,0,2019-06-14T16:08:41.081842
1420.0,14821.0,1896.0,2797.0,-22491.0,-9497.0,10457.0,0,0,0,NONE,0,2019-06-14T16:08:41.621639
1386.0,14719.0,1944.0,2818.0,-22379.0,-9401.0,10475.0,0,0,0,NONE,0,2019-06-14T16:08:42.218066
1369.0,14764.0,1923.0,2865.0,-22248.0,-9399.0,10457.0,0,0,0,NONE,0,2019-06-14T16:08:42.756323
1380.0,14734.0,1929.0,2808.0,-22290.0,-9284.0,10428.0,0,0,0,NONE,0,2019-06-14T16:08:43.354958
1348.0,14703.0,2004.0,2918.0,-22236.0,-9286.0,10445.0,0,0,0,NONE,0,2019-06-14T16:08:43.891761
1329.0,14632.0,1948.0,2902.0,-22173.0,-9335.0,10482.0,0,0,0,NONE,0,2019-06-14T16:08:44.491285
1333.0,14600.0,1975.0,2880.0,-22062.0,-9258.0,10333.0,0,0,0,NONE,0,2019-06-14T16:08:45.027130
1340.0,14627.0,1934.0,2893.0,-21945.0,-9132.0,10446.0,0,0,0,NONE,0,2019-06-14T16:08:45.629136
