seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5291.0,-695.0,1526.0,-5441.0,9944.0,14994.0,-14226.0,0,0,0,NONE,0,2019-06-14T15:26:19.663233
-5324.0,-716.0,1527.0,-5535.0,9942.0,15038.0,-14220.0,0,0,0,NONE,0,2019-06-14T15:26:20.232517
-5284.0,-725.0,1524.0,-5490.0,9899.0,14992.0,-14218.0,0,0,0,NONE,0,2019-06-14T15:26:20.799576
-5350.0,-744.0,1603.0,-5524.0,10002.0,15032.0,-14245.0,0,0,0,NONE,0,2019-06-14T15:26:21.368655
-5331.0,-638.0,1588.0,-5467.0,9900.0,15021.0,-14233.0,0,0,0,NONE,0,2019-06-14T15:26:21.934727
-5286.0,-709.0,1556.0,-5465.0,9996.0,15046.0,-14201.0,0,0,0,NONE,0,2019-06-14T15:26:22.503170
-5328.0,-693.0,1569.0,-5541.0,9947.0,14990.0,-14232.0,0,0,0,NONE,0,2019-06-14T15:26:23.072333
-5278.0,-666.0,1575.0,-5511.0,9954.0,14962.0,-14220.0,0,0,0,NONE,0,2019-06-14T15:26:23.639532
-5303.0,-636.0,1587.0,-5520.0,9990.0,15041.0,-14147.0,0,0,0,NONE,0,2019-06-14T15:26:24.208464
-5318.0,-670.0,1565.0,-5604.0,9977.0,14950.0,-14217.0,0,0,0,NONE,0,2019-06-14T15:26:24.775380
-5302.0,-678.0,1582.0,-5550.0,9985.0,15012.0,-14260.0,0,0,0,NONE,0,2019-06-14T15:26:25.343149
-5309.0,-692.0,1600.0,-5527.0,9953.0,14996.0,-14214.0,0,0,0,NONE,0,2019-06-14T15:26:25.910800
-5330.0,-684.0,1592.0,-5547.0,9989.0,15033.0,-14268.0,0,0,0,NONE,0,2019-06-14T15:26:26.479493
-5378.0,-721.0,1595.0,-5536.0,9992.0,15041.0,-14204.0,0,0,0,NONE,0,2019-06-14T15:26:27.047807
-5310.0,-661.0,1587.0,-5547.0,10015.0,15044.0,-14216.0,0,0,0,NONE,0,2019-06-14T15:26:27.615274
-5306.0,-649.0,1596.0,-5535.0,9982.0,15016.0,-14247.0,0,0,0,NONE,0,2019-06-14T15:26:28.182631
-5321.0,-709.0,1626.0,-5500.0,9960.0,15011.0,-14225.0,0,0,0,NONE,0,2019-06-14T15:26:28.752212
-5349.0,-609.0,1600.0,-5578.0,10016.0,14985.0,-14306.0,0,0,0,NONE,0,2019-06-14T15:26:29.319461
-5318.0,-663.0,1619.0,-5551.0,9990.0,15030.0,-14258.0,0,0,0,NONE,0,2019-06-14T15:26:29.889092
-5314.0,-675.0,1629.0,-5556.0,9998.0,14994.0,-14223.0,0,0,0,NONE,0,2019-06-14T15:26:30.454056
