seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3507.0,4607.0,609.0,-4660.0,10440.0,6117.0,-10516.0,0,0,0,NONE,0,2019-06-14T14:15:04.633998
-3449.0,4619.0,581.0,-4650.0,10393.0,6011.0,-10507.0,0,0,0,NONE,0,2019-06-14T14:15:05.230721
-3410.0,4650.0,562.0,-4766.0,10385.0,6057.0,-10472.0,0,0,0,NONE,0,2019-06-14T14:15:05.769462
-3401.0,4682.0,572.0,-4747.0,10348.0,6017.0,-10333.0,0,0,0,NONE,0,2019-06-14T14:15:06.366877
-3385.0,4767.0,530.0,-4739.0,10352.0,6024.0,-10408.0,0,0,0,NONE,0,2019-06-14T14:15:06.903793
-3340.0,4741.0,541.0,-4778.0,10285.0,5995.0,-10391.0,0,0,0,NONE,0,2019-06-14T14:15:07.503081
-3358.0,4782.0,531.0,-4829.0,10310.0,5903.0,-10311.0,0,0,0,NONE,0,2019-06-14T14:15:08.039623
-3364.0,4761.0,470.0,-4834.0,10199.0,5873.0,-10330.0,0,0,0,NONE,0,2019-06-14T14:15:08.638957
-3334.0,4834.0,469.0,-4843.0,10150.0,5806.0,-10249.0,0,0,0,NONE,0,2019-06-14T14:15:09.174442
-3308.0,4848.0,466.0,-4842.0,10160.0,5777.0,-10235.0,0,0,0,NONE,0,2019-06-14T14:15:09.774372
-3277.0,4911.0,470.0,-4802.0,10119.0,5682.0,-10163.0,0,0,0,NONE,0,2019-06-14T14:15:10.309750
-3285.0,4898.0,491.0,-4812.0,10107.0,5683.0,-10149.0,0,0,0,NONE,0,2019-06-14T14:15:10.910270
-3253.0,4907.0,488.0,-4799.0,10027.0,5682.0,-10181.0,0,0,0,NONE,0,2019-06-14T14:15:11.444608
-3209.0,4921.0,503.0,-4811.0,9970.0,5632.0,-10111.0,0,0,0,NONE,0,2019-06-14T14:15:12.047258
-3244.0,4956.0,475.0,-4751.0,9885.0,5564.0,-10098.0,0,0,0,NONE,0,2019-06-14T14:15:12.579699
-3151.0,5002.0,390.0,-4767.0,9877.0,5560.0,-10082.0,0,0,0,NONE,0,2019-06-14T14:15:13.183345
-3135.0,4955.0,446.0,-4781.0,9915.0,5531.0,-10054.0,0,0,0,NONE,0,2019-06-14T14:15:13.714832
-3125.0,5084.0,435.0,-4837.0,9834.0,5497.0,-9983.0,0,0,0,NONE,0,2019-06-14T14:15:14.319565
-3058.0,5095.0,431.0,-4907.0,9783.0,5478.0,-9967.0,0,0,0,NONE,0,2019-06-14T14:15:14.849618
-3008.0,5092.0,503.0,-4774.0,9768.0,5414.0,-9923.0,0,0,0,NONE,0,2019-06-14T14:15:15.455535
