seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6787.0,3027.0,7535.0,-1100.0,-9746.0,-6215.0,5345.0,0,0,0,NONE,0,2019-06-14T12:09:50.608369
6835.0,3117.0,7525.0,-1069.0,-9747.0,-6218.0,5344.0,0,0,0,NONE,0,2019-06-14T12:09:51.188901
6788.0,3106.0,7539.0,-953.0,-9763.0,-6262.0,5315.0,0,0,0,NONE,0,2019-06-14T12:09:51.742717
6766.0,3103.0,7583.0,-894.0,-9791.0,-6329.0,5385.0,0,0,0,NONE,0,2019-06-14T12:09:52.324933
6750.0,3080.0,7529.0,-896.0,-9794.0,-6356.0,5323.0,0,0,0,NONE,0,2019-06-14T12:09:52.877840
6745.0,3094.0,7615.0,-915.0,-9742.0,-6329.0,5402.0,0,0,0,NONE,0,2019-06-14T12:09:53.460890
6742.0,3168.0,7517.0,-889.0,-9819.0,-6371.0,5403.0,0,0,0,NONE,0,2019-06-14T12:09:54.012262
6730.0,3092.0,7555.0,-890.0,-9779.0,-6331.0,5389.0,0,0,0,NONE,0,2019-06-14T12:09:54.597031
6786.0,3080.0,7503.0,-833.0,-9801.0,-6336.0,5360.0,0,0,0,NONE,0,2019-06-14T12:09:55.147175
6727.0,3145.0,7530.0,-896.0,-9805.0,-6277.0,5393.0,0,0,0,NONE,0,2019-06-14T12:09:55.733123
6832.0,3094.0,7475.0,-856.0,-9836.0,-6217.0,5427.0,0,0,0,NONE,0,2019-06-14T12:09:56.282043
6792.0,3048.0,7564.0,-931.0,-9826.0,-6170.0,5371.0,0,0,0,NONE,0,2019-06-14T12:09:56.869137
6757.0,3116.0,7511.0,-974.0,-9912.0,-6188.0,5379.0,0,0,0,NONE,0,2019-06-14T12:09:57.416403
6829.0,3177.0,7509.0,-901.0,-9922.0,-6180.0,5378.0,0,0,0,NONE,0,2019-06-14T12:09:58.005085
6835.0,3120.0,7568.0,-948.0,-9909.0,-6135.0,5440.0,0,0,0,NONE,0,2019-06-14T12:09:58.550599
6793.0,3082.0,7506.0,-917.0,-9896.0,-6149.0,5378.0,0,0,0,NONE,0,2019-06-14T12:09:59.141038
6819.0,3168.0,7561.0,-909.0,-9859.0,-6175.0,5470.0,0,0,0,NONE,0,2019-06-14T12:09:59.685239
6807.0,3121.0,7489.0,-970.0,-9978.0,-6185.0,5412.0,0,0,0,NONE,0,2019-06-14T12:10:00.276986
6793.0,3115.0,7547.0,-965.0,-10009.0,-6200.0,5436.0,0,0,0,NONE,0,2019-06-14T12:10:00.820685
6775.0,3151.0,7424.0,-924.0,-10009.0,-6373.0,5453.0,0,0,0,NONE,0,2019-06-14T12:10:01.413138
