seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3753.0,-4993.0,2424.0,259.0,6316.0,2292.0,-1819.0,0,0,0,NONE,0,2019-06-14T13:00:55.694981
-3782.0,-4976.0,2395.0,322.0,6380.0,2213.0,-1853.0,0,0,0,NONE,0,2019-06-14T13:00:56.273041
-3766.0,-4983.0,2422.0,282.0,6312.0,2248.0,-1830.0,0,0,0,NONE,0,2019-06-14T13:00:56.830857
-3774.0,-5033.0,2409.0,260.0,6355.0,2209.0,-1788.0,0,0,0,NONE,0,2019-06-14T13:00:57.409500
-3748.0,-5018.0,2360.0,239.0,6343.0,2176.0,-1813.0,0,0,0,NONE,0,2019-06-14T13:00:57.966208
-3728.0,-4973.0,2437.0,227.0,6307.0,2134.0,-1798.0,0,0,0,NONE,0,2019-06-14T13:00:58.545346
-3678.0,-4974.0,2421.0,190.0,6359.0,2120.0,-1796.0,0,0,0,NONE,0,2019-06-14T13:00:59.101385
-3696.0,-4918.0,2386.0,184.0,6353.0,2075.0,-1795.0,0,0,0,NONE,0,2019-06-14T13:00:59.681903
-3639.0,-4909.0,2399.0,136.0,6382.0,2122.0,-1764.0,0,0,0,NONE,0,2019-06-14T13:01:00.236816
-3687.0,-4841.0,2391.0,47.0,6343.0,2078.0,-1765.0,0,0,0,NONE,0,2019-06-14T13:01:00.818181
-3625.0,-4908.0,2411.0,102.0,6357.0,2124.0,-1795.0,0,0,0,NONE,0,2019-06-14T13:01:01.372313
-3683.0,-4849.0,2380.0,93.0,6310.0,2094.0,-1747.0,0,0,0,NONE,0,2019-06-14T13:01:01.954369
-3643.0,-4845.0,2389.0,-25.0,6353.0,2075.0,-1765.0,0,0,0,NONE,0,2019-06-14T13:01:02.507685
-3571.0,-4814.0,2327.0,-18.0,6280.0,2020.0,-1770.0,0,0,0,NONE,0,2019-06-14T13:01:03.090519
-3515.0,-4803.0,2295.0,-140.0,6326.0,1967.0,-1729.0,0,0,0,NONE,0,2019-06-14T13:01:03.643058
-3530.0,-4780.0,2306.0,-132.0,6241.0,2038.0,-1764.0,0,0,0,NONE,0,2019-06-14T13:01:04.226972
-3448.0,-4742.0,2275.0,-219.0,6299.0,1919.0,-1762.0,0,0,0,NONE,0,2019-06-14T13:01:04.778715
-3463.0,-4692.0,2301.0,-212.0,6240.0,1871.0,-1789.0,0,0,0,NONE,0,2019-06-14T13:01:05.363053
-3450.0,-4711.0,2239.0,-311.0,6281.0,1802.0,-1803.0,0,0,0,NONE,0,2019-06-14T13:01:05.914246
-3456.0,-4651.0,2230.0,-276.0,6247.0,1839.0,-1825.0,0,0,0,NONE,0,2019-06-14T13:01:06.499468
