seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7232.0,-2497.0,2879.0,-4285.0,18055.0,10179.0,-11998.0,0,0,0,NONE,0,2019-06-14T14:48:15.854803
-7240.0,-2452.0,2866.0,-4253.0,18058.0,10190.0,-11945.0,0,0,0,NONE,0,2019-06-14T14:48:16.428557
-7213.0,-2448.0,2880.0,-4249.0,17977.0,10142.0,-11985.0,0,0,0,NONE,0,2019-06-14T14:48:16.990899
-7235.0,-2456.0,2916.0,-4307.0,18037.0,10153.0,-11978.0,0,0,0,NONE,0,2019-06-14T14:48:17.564000
-7171.0,-2524.0,2923.0,-4285.0,18086.0,10203.0,-11948.0,0,0,0,NONE,0,2019-06-14T14:48:18.125306
-7228.0,-2496.0,2896.0,-4319.0,18085.0,10187.0,-12004.0,0,0,0,NONE,0,2019-06-14T14:48:18.701471
-7244.0,-2483.0,2894.0,-4289.0,18005.0,10176.0,-11956.0,0,0,0,NONE,0,2019-06-14T14:48:19.260332
-7158.0,-2502.0,2918.0,-4298.0,18102.0,10162.0,-11979.0,0,0,0,NONE,0,2019-06-14T14:48:19.837021
-7207.0,-2458.0,2936.0,-4345.0,17989.0,10238.0,-12006.0,0,0,0,NONE,0,2019-06-14T14:48:20.396909
-7147.0,-2453.0,2900.0,-4352.0,18025.0,10232.0,-12010.0,0,0,0,NONE,0,2019-06-14T14:48:20.973041
-7164.0,-2497.0,2909.0,-4307.0,18047.0,10242.0,-11968.0,0,0,0,NONE,0,2019-06-14T14:48:21.532267
-7092.0,-2476.0,2958.0,-4314.0,18061.0,10245.0,-11978.0,0,0,0,NONE,0,2019-06-14T14:48:22.109612
-7109.0,-2435.0,2932.0,-4384.0,18014.0,10272.0,-11992.0,0,0,0,NONE,0,2019-06-14T14:48:22.667148
-7140.0,-2443.0,2961.0,-4306.0,18080.0,10162.0,-11918.0,0,0,0,NONE,0,2019-06-14T14:48:23.245638
-7124.0,-2474.0,2932.0,-4251.0,18057.0,10206.0,-12003.0,0,0,0,NONE,0,2019-06-14T14:48:23.802568
-7098.0,-2389.0,2934.0,-4346.0,18045.0,10157.0,-11998.0,0,0,0,NONE,0,2019-06-14T14:48:24.381355
-7066.0,-2423.0,2919.0,-4318.0,18062.0,10155.0,-12034.0,0,0,0,NONE,0,2019-06-14T14:48:24.938391
-7091.0,-2491.0,2912.0,-4361.0,18097.0,10195.0,-11992.0,0,0,0,NONE,0,2019-06-14T14:48:25.518206
-7115.0,-2391.0,2959.0,-4362.0,18072.0,10142.0,-11938.0,0,0,0,NONE,0,2019-06-14T14:48:26.073120
-7039.0,-2396.0,2957.0,-4433.0,18040.0,10252.0,-12045.0,0,0,0,NONE,0,2019-06-14T14:48:26.654973
