seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
1140.0,4965.0,5196.0,-3653.0,-1990.0,4225.0,-329.0,0,0,0,NONE,0,2019-06-14T15:13:27.475846
1131.0,4917.0,5209.0,-3722.0,-2003.0,4232.0,-319.0,0,0,0,NONE,0,2019-06-14T15:13:28.044047
1047.0,4953.0,5306.0,-3700.0,-1943.0,4320.0,-372.0,0,0,0,NONE,0,2019-06-14T15:13:28.611121
1073.0,4927.0,5217.0,-3702.0,-1815.0,4418.0,-436.0,0,0,0,NONE,0,2019-06-14T15:13:29.179131
999.0,4957.0,5158.0,-3655.0,-1815.0,4432.0,-449.0,0,0,0,NONE,0,2019-06-14T15:13:29.746694
925.0,4962.0,5247.0,-3604.0,-1790.0,4449.0,-442.0,0,0,0,NONE,0,2019-06-14T15:13:30.315921
922.0,4924.0,5228.0,-3603.0,-1709.0,4490.0,-522.0,0,0,0,NONE,0,2019-06-14T15:13:30.881959
901.0,4958.0,5191.0,-3602.0,-1655.0,4615.0,-498.0,0,0,0,NONE,0,2019-06-14T15:13:31.449955
905.0,4959.0,5261.0,-3550.0,-1603.0,4643.0,-473.0,0,0,0,NONE,0,2019-06-14T15:13:32.017384
794.0,4950.0,5195.0,-3524.0,-1493.0,4699.0,-588.0,0,0,0,NONE,0,2019-06-14T15:13:32.583722
792.0,4964.0,5275.0,-3480.0,-1367.0,4711.0,-552.0,0,0,0,NONE,0,2019-06-14T15:13:33.152437
785.0,4942.0,5256.0,-3451.0,-1391.0,4800.0,-594.0,0,0,0,NONE,0,2019-06-14T15:13:33.719952
756.0,4919.0,5234.0,-3367.0,-1272.0,4846.0,-537.0,0,0,0,NONE,0,2019-06-14T15:13:34.286600
696.0,4953.0,5239.0,-3393.0,-1242.0,4815.0,-629.0,0,0,0,NONE,0,2019-06-14T15:13:34.855238
691.0,4964.0,5206.0,-3382.0,-1193.0,4921.0,-650.0,0,0,0,NONE,0,2019-06-14T15:13:35.422486
598.0,4975.0,5136.0,-3341.0,-1219.0,4977.0,-633.0,0,0,0,NONE,0,2019-06-14T15:13:35.990316
572.0,4982.0,5186.0,-3309.0,-1088.0,4988.0,-698.0,0,0,0,NONE,0,2019-06-14T15:13:36.557123
548.0,4934.0,5100.0,-3266.0,-1100.0,5068.0,-709.0,0,0,0,NONE,0,2019-06-14T15:13:37.126054
515.0,5010.0,5141.0,-3258.0,-973.0,5067.0,-730.0,0,0,0,NONE,0,2019-06-14T15:13:37.692106
507.0,4910.0,5148.0,-3258.0,-987.0,5113.0,-730.0,0,0,0,NONE,0,2019-06-14T15:13:38.260505
