seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4255.0,5914.0,4188.0,-1557.0,-800.0,-2844.0,-1086.0,0,0,0,NONE,0,2019-06-14T16:49:37.862881
-4233.0,5880.0,4161.0,-1602.0,-721.0,-2773.0,-1056.0,0,0,0,NONE,0,2019-06-14T16:49:38.430638
-4271.0,5863.0,4204.0,-1592.0,-761.0,-2795.0,-1162.0,0,0,0,NONE,0,2019-06-14T16:49:38.999325
-4218.0,5904.0,4242.0,-1590.0,-736.0,-2841.0,-1171.0,0,0,0,NONE,0,2019-06-14T16:49:39.568966
-4251.0,5909.0,4254.0,-1573.0,-767.0,-2830.0,-1111.0,0,0,0,NONE,0,2019-06-14T16:49:40.136147
-4288.0,5910.0,4248.0,-1602.0,-709.0,-2826.0,-1139.0,0,0,0,NONE,0,2019-06-14T16:49:40.703907
-4296.0,5909.0,4266.0,-1554.0,-712.0,-2785.0,-1124.0,0,0,0,NONE,0,2019-06-14T16:49:41.271461
-4260.0,5861.0,4192.0,-1505.0,-678.0,-2744.0,-1116.0,0,0,0,NONE,0,2019-06-14T16:49:41.840623
-4323.0,5903.0,4190.0,-1556.0,-752.0,-2834.0,-1134.0,0,0,0,NONE,0,2019-06-14T16:49:42.408290
-4268.0,5917.0,4177.0,-1577.0,-664.0,-2851.0,-1100.0,0,0,0,NONE,0,2019-06-14T16:49:42.976117
-4211.0,5860.0,4230.0,-1581.0,-717.0,-2839.0,-1107.0,0,0,0,NONE,0,2019-06-14T16:49:43.543903
-4258.0,5857.0,4210.0,-1584.0,-681.0,-2817.0,-1182.0,0,0,0,NONE,0,2019-06-14T16:49:44.112920
-4206.0,5927.0,4170.0,-1516.0,-651.0,-2880.0,-1161.0,0,0,0,NONE,0,2019-06-14T16:49:44.680876
-4283.0,5963.0,4180.0,-1511.0,-710.0,-2844.0,-1229.0,0,0,0,NONE,0,2019-06-14T16:49:45.248883
-4272.0,5957.0,4175.0,-1588.0,-688.0,-2795.0,-1144.0,0,0,0,NONE,0,2019-06-14T16:49:45.816798
-4241.0,5893.0,4175.0,-1489.0,-649.0,-2877.0,-1091.0,0,0,0,NONE,0,2019-06-14T16:49:46.385867
-4242.0,5922.0,4118.0,-1514.0,-650.0,-2836.0,-1177.0,0,0,0,NONE,0,2019-06-14T16:49:46.952645
-4204.0,5880.0,4088.0,-1523.0,-596.0,-2786.0,-1156.0,0,0,0,NONE,0,2019-06-14T16:49:47.521365
-4263.0,5878.0,4137.0,-1583.0,-676.0,-2850.0,-1120.0,0,0,0,NONE,0,2019-06-14T16:49:48.090191
-4277.0,5933.0,4140.0,-1507.0,-601.0,-2819.0,-1129.0,0,0,0,NONE,0,2019-06-14T16:49:48.658446
