seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7879.0,-2194.0,2619.0,-3809.0,18125.0,9544.0,-10932.0,0,0,0,NONE,0,2019-06-14T14:47:07.739827
-7832.0,-2181.0,2684.0,-3799.0,18101.0,9457.0,-10924.0,0,0,0,NONE,0,2019-06-14T14:47:08.307668
-7847.0,-2251.0,2551.0,-3824.0,18112.0,9557.0,-10961.0,0,0,0,NONE,0,2019-06-14T14:47:08.875449
-7838.0,-2226.0,2604.0,-3821.0,18049.0,9536.0,-10964.0,0,0,0,NONE,0,2019-06-14T14:47:09.443391
-7864.0,-2304.0,2627.0,-3819.0,18079.0,9514.0,-10998.0,0,0,0,NONE,0,2019-06-14T14:47:10.011784
-7903.0,-2313.0,2590.0,-3841.0,18048.0,9540.0,-10990.0,0,0,0,NONE,0,2019-06-14T14:47:10.577823
-7870.0,-2168.0,2664.0,-3724.0,18090.0,9620.0,-10941.0,0,0,0,NONE,0,2019-06-14T14:47:11.145604
-7973.0,-2372.0,2575.0,-3943.0,17797.0,9172.0,-11022.0,0,0,0,NONE,0,2019-06-14T14:47:11.714368
-7807.0,-2241.0,2625.0,-3801.0,18008.0,9543.0,-10976.0,0,0,0,NONE,0,2019-06-14T14:47:12.280934
-7794.0,-2139.0,2603.0,-3726.0,18205.0,9748.0,-10973.0,0,0,0,NONE,0,2019-06-14T14:47:12.848659
-7787.0,-2255.0,2665.0,-3706.0,18094.0,9611.0,-10963.0,0,0,0,NONE,0,2019-06-14T14:47:13.416972
-7820.0,-2243.0,2628.0,-3805.0,18051.0,9600.0,-10958.0,0,0,0,NONE,0,2019-06-14T14:47:13.984610
-7749.0,-2133.0,2613.0,-3735.0,18039.0,9612.0,-10948.0,0,0,0,NONE,0,2019-06-14T14:47:14.552291
-7817.0,-2184.0,2627.0,-3802.0,18102.0,9601.0,-10955.0,0,0,0,NONE,0,2019-06-14T14:47:15.118712
-7829.0,-2221.0,2584.0,-3797.0,18035.0,9542.0,-11005.0,0,0,0,NONE,0,2019-06-14T14:47:15.689206
-7792.0,-2224.0,2686.0,-3763.0,18055.0,9592.0,-10942.0,0,0,0,NONE,0,2019-06-14T14:47:16.254458
-7793.0,-2189.0,2665.0,-3767.0,18041.0,9553.0,-10972.0,0,0,0,NONE,0,2019-06-14T14:47:16.824672
-7803.0,-2185.0,2644.0,-3827.0,18043.0,9578.0,-11015.0,0,0,0,NONE,0,2019-06-14T14:47:17.388928
-7806.0,-2225.0,2627.0,-3787.0,18034.0,9555.0,-10947.0,0,0,0,NONE,0,2019-06-14T14:47:17.961587
-7783.0,-2192.0,2624.0,-3846.0,18071.0,9552.0,-10934.0,0,0,0,NONE,0,2019-06-14T14:47:18.523802
