seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6048.0,-1375.0,3722.0,-4083.0,18950.0,10341.0,-11895.0,0,0,0,NONE,0,2019-06-14T14:26:48.417955
-6019.0,-1389.0,3719.0,-4089.0,18967.0,10350.0,-11862.0,0,0,0,NONE,0,2019-06-14T14:26:48.960167
-6025.0,-1348.0,3723.0,-4154.0,18908.0,10325.0,-11902.0,0,0,0,NONE,0,2019-06-14T14:26:49.555062
-6003.0,-1378.0,3715.0,-4157.0,18974.0,10321.0,-11908.0,0,0,0,NONE,0,2019-06-14T14:26:50.097155
-6006.0,-1401.0,3708.0,-4141.0,18977.0,10368.0,-11873.0,0,0,0,NONE,0,2019-06-14T14:26:50.663532
-6074.0,-1423.0,3738.0,-4135.0,19020.0,10288.0,-11952.0,0,0,0,NONE,0,2019-06-14T14:26:51.232142
-6006.0,-1401.0,3767.0,-4117.0,18967.0,10303.0,-11944.0,0,0,0,NONE,0,2019-06-14T14:26:51.827363
-6018.0,-1414.0,3726.0,-4127.0,19041.0,10270.0,-11965.0,0,0,0,NONE,0,2019-06-14T14:26:52.367525
-6025.0,-1365.0,3747.0,-4205.0,18942.0,10259.0,-11933.0,0,0,0,NONE,0,2019-06-14T14:26:52.963478
-6070.0,-1427.0,3708.0,-4226.0,19030.0,10280.0,-11961.0,0,0,0,NONE,0,2019-06-14T14:26:53.503034
-6012.0,-1405.0,3743.0,-4204.0,19037.0,10300.0,-11965.0,0,0,0,NONE,0,2019-06-14T14:26:54.099726
-5998.0,-1388.0,3704.0,-4176.0,19007.0,10259.0,-12020.0,0,0,0,NONE,0,2019-06-14T14:26:54.638470
-6004.0,-1405.0,3719.0,-4137.0,19015.0,10328.0,-11940.0,0,0,0,NONE,0,2019-06-14T14:26:55.236173
-6086.0,-1468.0,3727.0,-4222.0,19052.0,10297.0,-11978.0,0,0,0,NONE,0,2019-06-14T14:26:55.773688
-6057.0,-1461.0,3749.0,-4218.0,19026.0,10365.0,-11991.0,0,0,0,NONE,0,2019-06-14T14:26:56.372224
-6000.0,-1463.0,3734.0,-4231.0,19057.0,10364.0,-11982.0,0,0,0,NONE,0,2019-06-14T14:26:56.907238
-6013.0,-1433.0,3757.0,-4196.0,18995.0,10338.0,-12016.0,0,0,0,NONE,0,2019-06-14T14:26:57.508233
-5980.0,-1445.0,3782.0,-4257.0,19070.0,10366.0,-12071.0,0,0,0,NONE,0,2019-06-14T14:26:58.044101
-6027.0,-1474.0,3774.0,-4137.0,19071.0,10290.0,-12074.0,0,0,0,NONE,0,2019-06-14T14:26:58.644399
-5951.0,-1458.0,3755.0,-4200.0,19013.0,10272.0,-12025.0,0,0,0,NONE,0,2019-06-14T14:26:59.179478
