seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2346.0,1116.0,4177.0,2967.0,-5975.0,-4003.0,7826.0,0,0,0,NONE,0,2019-06-14T11:56:01.869194
2301.0,1249.0,4151.0,2926.0,-5882.0,-3903.0,7830.0,0,0,0,NONE,0,2019-06-14T11:56:02.444734
2245.0,1164.0,4135.0,2934.0,-5871.0,-3932.0,7814.0,0,0,0,NONE,0,2019-06-14T11:56:03.003560
2211.0,1191.0,4135.0,3031.0,-5845.0,-3905.0,7821.0,0,0,0,NONE,0,2019-06-14T11:56:03.580662
2234.0,1111.0,4124.0,3085.0,-5748.0,-3903.0,7785.0,0,0,0,NONE,0,2019-06-14T11:56:04.138069
2178.0,1057.0,4104.0,3088.0,-5662.0,-3859.0,7794.0,0,0,0,NONE,0,2019-06-14T11:56:04.716485
2125.0,1083.0,4082.0,3122.0,-5690.0,-3789.0,7881.0,0,0,0,NONE,0,2019-06-14T11:56:05.272748
2149.0,1115.0,4128.0,3139.0,-5633.0,-3805.0,7796.0,0,0,0,NONE,0,2019-06-14T11:56:05.852466
2100.0,1066.0,4023.0,3142.0,-5558.0,-3685.0,7833.0,0,0,0,NONE,0,2019-06-14T11:56:06.407399
2040.0,1037.0,4100.0,3145.0,-5509.0,-3676.0,7761.0,0,0,0,NONE,0,2019-06-14T11:56:06.988263
2024.0,1065.0,4031.0,3233.0,-5437.0,-3676.0,7811.0,0,0,0,NONE,0,2019-06-14T11:56:07.541734
1995.0,1065.0,3995.0,3205.0,-5411.0,-3605.0,7753.0,0,0,0,NONE,0,2019-06-14T11:56:08.124145
1964.0,1015.0,3985.0,3202.0,-5369.0,-3634.0,7812.0,0,0,0,NONE,0,2019-06-14T11:56:08.676024
1967.0,1063.0,3987.0,3180.0,-5306.0,-3606.0,7780.0,0,0,0,NONE,0,2019-06-14T11:56:09.260096
1908.0,1031.0,3944.0,3234.0,-5270.0,-3579.0,7725.0,0,0,0,NONE,0,2019-06-14T11:56:09.810768
1833.0,1001.0,3964.0,3260.0,-5218.0,-3528.0,7745.0,0,0,0,NONE,0,2019-06-14T11:56:10.395931
1902.0,956.0,3991.0,3251.0,-5158.0,-3515.0,7769.0,0,0,0,NONE,0,2019-06-14T11:56:10.944861
1816.0,961.0,3960.0,3284.0,-5163.0,-3471.0,7692.0,0,0,0,NONE,0,2019-06-14T11:56:11.531669
1784.0,991.0,3964.0,3296.0,-5100.0,-3430.0,7718.0,0,0,0,NONE,0,2019-06-14T11:56:12.079561
1754.0,941.0,3938.0,3289.0,-4984.0,-3404.0,7655.0,0,0,0,NONE,0,2019-06-14T11:56:12.667603
