seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2422.0,8001.0,2881.0,-2720.0,-4782.0,-3765.0,-1503.0,0,0,0,NONE,0,2019-06-14T16:31:56.833027
-2373.0,8053.0,2812.0,-2677.0,-4884.0,-3807.0,-1509.0,0,0,0,NONE,0,2019-06-14T16:31:57.413776
-2437.0,8083.0,2756.0,-2626.0,-4931.0,-3776.0,-1504.0,0,0,0,NONE,0,2019-06-14T16:31:57.968424
-2429.0,8151.0,2785.0,-2668.0,-4909.0,-3840.0,-1466.0,0,0,0,NONE,0,2019-06-14T16:31:58.550758
-2377.0,8142.0,2739.0,-2668.0,-5017.0,-3904.0,-1483.0,0,0,0,NONE,0,2019-06-14T16:31:59.103149
-2373.0,8196.0,2710.0,-2661.0,-5059.0,-3988.0,-1431.0,0,0,0,NONE,0,2019-06-14T16:31:59.687353
-2442.0,8214.0,2789.0,-2553.0,-5100.0,-4096.0,-1432.0,0,0,0,NONE,0,2019-06-14T16:32:00.237567
-2356.0,8278.0,2700.0,-2606.0,-5061.0,-4174.0,-1407.0,0,0,0,NONE,0,2019-06-14T16:32:00.824664
-2361.0,8311.0,2692.0,-2585.0,-5186.0,-4245.0,-1470.0,0,0,0,NONE,0,2019-06-14T16:32:01.372497
-2385.0,8291.0,2666.0,-2532.0,-5229.0,-4315.0,-1430.0,0,0,0,NONE,0,2019-06-14T16:32:01.961479
-2380.0,8421.0,2729.0,-2496.0,-5287.0,-4318.0,-1341.0,0,0,0,NONE,0,2019-06-14T16:32:02.507630
-2404.0,8409.0,2713.0,-2517.0,-5314.0,-4398.0,-1364.0,0,0,0,NONE,0,2019-06-14T16:32:03.098543
-2372.0,8403.0,2643.0,-2474.0,-5369.0,-4371.0,-1385.0,0,0,0,NONE,0,2019-06-14T16:32:03.642212
-2387.0,8467.0,2625.0,-2505.0,-5415.0,-4357.0,-1336.0,0,0,0,NONE,0,2019-06-14T16:32:04.235612
-2345.0,8505.0,2569.0,-2431.0,-5503.0,-4404.0,-1362.0,0,0,0,NONE,0,2019-06-14T16:32:04.776318
-2375.0,8535.0,2576.0,-2457.0,-5492.0,-4466.0,-1321.0,0,0,0,NONE,0,2019-06-14T16:32:05.372203
-2358.0,8521.0,2579.0,-2413.0,-5572.0,-4496.0,-1241.0,0,0,0,NONE,0,2019-06-14T16:32:05.911511
-2406.0,8519.0,2501.0,-2399.0,-5707.0,-4454.0,-1278.0,0,0,0,NONE,0,2019-06-14T16:32:06.509884
-2316.0,8611.0,2547.0,-2388.0,-5625.0,-4490.0,-1318.0,0,0,0,NONE,0,2019-06-14T16:32:07.046136
-2364.0,8642.0,2467.0,-2374.0,-5751.0,-4463.0,-1276.0,0,0,0,NONE,0,2019-06-14T16:32:07.646473
