seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4098.0,-5030.0,2247.0,816.0,6401.0,2391.0,-1272.0,0,0,0,NONE,0,2019-06-14T12:59:47.587961
-4158.0,-5035.0,2270.0,802.0,6441.0,2426.0,-1309.0,0,0,0,NONE,0,2019-06-14T12:59:48.137759
-4102.0,-5047.0,2334.0,769.0,6356.0,2409.0,-1263.0,0,0,0,NONE,0,2019-06-14T12:59:48.724536
-4128.0,-5017.0,2275.0,752.0,6370.0,2413.0,-1234.0,0,0,0,NONE,0,2019-06-14T12:59:49.273237
-4163.0,-5034.0,2321.0,761.0,6369.0,2460.0,-1314.0,0,0,0,NONE,0,2019-06-14T12:59:49.860692
-4130.0,-5029.0,2262.0,792.0,6324.0,2361.0,-1286.0,0,0,0,NONE,0,2019-06-14T12:59:50.409186
-4106.0,-5024.0,2324.0,755.0,6392.0,2406.0,-1346.0,0,0,0,NONE,0,2019-06-14T12:59:50.996801
-4113.0,-5027.0,2311.0,798.0,6322.0,2414.0,-1306.0,0,0,0,NONE,0,2019-06-14T12:59:51.544397
-4156.0,-5060.0,2338.0,822.0,6329.0,2373.0,-1286.0,0,0,0,NONE,0,2019-06-14T12:59:52.132948
-4233.0,-5085.0,2316.0,809.0,6288.0,2487.0,-1342.0,0,0,0,NONE,0,2019-06-14T12:59:52.680076
-4100.0,-5078.0,2302.0,782.0,6394.0,2458.0,-1295.0,0,0,0,NONE,0,2019-06-14T12:59:53.268927
-4132.0,-5068.0,2361.0,773.0,6293.0,2415.0,-1360.0,0,0,0,NONE,0,2019-06-14T12:59:53.815418
-4180.0,-5016.0,2337.0,791.0,6335.0,2450.0,-1310.0,0,0,0,NONE,0,2019-06-14T12:59:54.405370
-4104.0,-5083.0,2312.0,780.0,6340.0,2412.0,-1365.0,0,0,0,NONE,0,2019-06-14T12:59:54.950980
-4171.0,-5038.0,2336.0,824.0,6415.0,2451.0,-1336.0,0,0,0,NONE,0,2019-06-14T12:59:55.541500
-4072.0,-5087.0,2342.0,766.0,6374.0,2455.0,-1390.0,0,0,0,NONE,0,2019-06-14T12:59:56.086424
-4032.0,-5032.0,2270.0,751.0,6349.0,2417.0,-1362.0,0,0,0,NONE,0,2019-06-14T12:59:56.677628
-4055.0,-5124.0,2331.0,772.0,6316.0,2419.0,-1390.0,0,0,0,NONE,0,2019-06-14T12:59:57.221898
-4094.0,-5094.0,2338.0,775.0,6331.0,2424.0,-1326.0,0,0,0,NONE,0,2019-06-14T12:59:57.813643
-4050.0,-5070.0,2305.0,692.0,6300.0,2452.0,-1380.0,0,0,0,NONE,0,2019-06-14T12:59:58.357395
