seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
250.0,10116.0,705.0,-906.0,-2060.0,-3026.0,311.0,0,0,0,NONE,0,2019-06-14T14:38:37.169955
201.0,10178.0,719.0,-936.0,-2046.0,-3088.0,295.0,0,0,0,NONE,0,2019-06-14T14:38:37.773990
229.0,10045.0,691.0,-933.0,-1967.0,-3079.0,413.0,0,0,0,NONE,0,2019-06-14T14:38:38.305796
228.0,10120.0,654.0,-870.0,-1962.0,-3127.0,377.0,0,0,0,NONE,0,2019-06-14T14:38:38.908986
199.0,10103.0,671.0,-847.0,-2017.0,-3146.0,338.0,0,0,0,NONE,0,2019-06-14T14:38:39.439781
137.0,10113.0,683.0,-865.0,-2024.0,-3098.0,409.0,0,0,0,NONE,0,2019-06-14T14:38:40.045540
114.0,10119.0,600.0,-916.0,-2050.0,-3061.0,399.0,0,0,0,NONE,0,2019-06-14T14:38:40.575060
125.0,10100.0,670.0,-912.0,-2024.0,-3071.0,418.0,0,0,0,NONE,0,2019-06-14T14:38:41.181552
107.0,10089.0,658.0,-902.0,-2042.0,-3055.0,437.0,0,0,0,NONE,0,2019-06-14T14:38:41.709993
201.0,10074.0,634.0,-909.0,-2021.0,-3017.0,417.0,0,0,0,NONE,0,2019-06-14T14:38:42.276857
203.0,10094.0,635.0,-916.0,-1948.0,-3139.0,410.0,0,0,0,NONE,0,2019-06-14T14:38:42.844181
232.0,10020.0,641.0,-935.0,-2039.0,-3083.0,377.0,0,0,0,NONE,0,2019-06-14T14:38:43.411412
217.0,10068.0,662.0,-931.0,-1950.0,-3080.0,398.0,0,0,0,NONE,0,2019-06-14T14:38:43.978730
272.0,10098.0,660.0,-966.0,-1978.0,-3172.0,444.0,0,0,0,NONE,0,2019-06-14T14:38:44.546014
212.0,9959.0,698.0,-918.0,-1990.0,-3177.0,389.0,0,0,0,NONE,0,2019-06-14T14:38:45.113264
292.0,9968.0,715.0,-871.0,-1980.0,-3204.0,400.0,0,0,0,NONE,0,2019-06-14T14:38:45.680372
269.0,10035.0,758.0,-875.0,-1906.0,-3215.0,416.0,0,0,0,NONE,0,2019-06-14T14:38:46.247485
245.0,9988.0,759.0,-869.0,-1931.0,-3201.0,422.0,0,0,0,NONE,0,2019-06-14T14:38:46.814739
350.0,10045.0,836.0,-879.0,-1998.0,-3201.0,425.0,0,0,0,NONE,0,2019-06-14T14:38:47.382135
254.0,9944.0,814.0,-826.0,-1940.0,-3154.0,358.0,0,0,0,NONE,0,2019-06-14T14:38:47.949158
