seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1511.0,4093.0,2523.0,-6494.0,10759.0,4273.0,-10920.0,0,0,0,NONE,0,2019-06-14T14:32:29.006729
-1519.0,4106.0,2513.0,-6502.0,10679.0,4259.0,-10891.0,0,0,0,NONE,0,2019-06-14T14:32:29.598096
-1522.0,4144.0,2468.0,-6524.0,10605.0,4224.0,-10841.0,0,0,0,NONE,0,2019-06-14T14:32:30.143551
-1531.0,4229.0,2363.0,-6477.0,10556.0,4193.0,-10839.0,0,0,0,NONE,0,2019-06-14T14:32:30.733957
-1489.0,4188.0,2373.0,-6466.0,10524.0,4175.0,-10746.0,0,0,0,NONE,0,2019-06-14T14:32:31.278649
-1575.0,4272.0,2308.0,-6427.0,10485.0,4164.0,-10688.0,0,0,0,NONE,0,2019-06-14T14:32:31.870109
-1494.0,4313.0,2313.0,-6413.0,10392.0,4045.0,-10650.0,0,0,0,NONE,0,2019-06-14T14:32:32.414072
-1528.0,4402.0,2297.0,-6353.0,10331.0,4032.0,-10682.0,0,0,0,NONE,0,2019-06-14T14:32:33.006916
-1509.0,4428.0,2213.0,-6408.0,10327.0,3980.0,-10557.0,0,0,0,NONE,0,2019-06-14T14:32:33.548821
-1460.0,4454.0,2204.0,-6288.0,10231.0,3927.0,-10492.0,0,0,0,NONE,0,2019-06-14T14:32:34.143249
-1560.0,4475.0,2109.0,-6305.0,10186.0,3913.0,-10419.0,0,0,0,NONE,0,2019-06-14T14:32:34.684562
-1602.0,4496.0,2067.0,-6283.0,10143.0,3841.0,-10395.0,0,0,0,NONE,0,2019-06-14T14:32:35.279735
-1487.0,4644.0,2109.0,-6231.0,10063.0,3810.0,-10399.0,0,0,0,NONE,0,2019-06-14T14:32:35.820031
-1565.0,4614.0,2001.0,-6216.0,9967.0,3806.0,-10387.0,0,0,0,NONE,0,2019-06-14T14:32:36.415751
-1520.0,4678.0,1993.0,-6173.0,9944.0,3768.0,-10330.0,0,0,0,NONE,0,2019-06-14T14:32:36.955233
-1468.0,4686.0,2051.0,-6209.0,9872.0,3761.0,-10254.0,0,0,0,NONE,0,2019-06-14T14:32:37.551778
-1452.0,4750.0,2034.0,-6230.0,9846.0,3690.0,-10274.0,0,0,0,NONE,0,2019-06-14T14:32:38.090478
-1443.0,4785.0,1962.0,-6287.0,9786.0,3631.0,-10188.0,0,0,0,NONE,0,2019-06-14T14:32:38.689230
-1412.0,4866.0,1966.0,-6310.0,9712.0,3576.0,-10263.0,0,0,0,NONE,0,2019-06-14T14:32:39.224481
-1418.0,4870.0,2029.0,-6244.0,9734.0,3600.0,-10177.0,0,0,0,NONE,0,2019-06-14T14:32:39.824797
