seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2581.0,9436.0,3561.0,-3512.0,-4662.0,-6348.0,-996.0,0,0,0,NONE,0,2019-06-14T16:58:20.560733
-2536.0,9509.0,3564.0,-3530.0,-4789.0,-6322.0,-1050.0,0,0,0,NONE,0,2019-06-14T16:58:21.108867
-2586.0,9543.0,3437.0,-3569.0,-4834.0,-6372.0,-991.0,0,0,0,NONE,0,2019-06-14T16:58:21.698092
-2456.0,9633.0,3429.0,-3549.0,-4978.0,-6386.0,-948.0,0,0,0,NONE,0,2019-06-14T16:58:22.243718
-2443.0,9611.0,3430.0,-3536.0,-4919.0,-6358.0,-889.0,0,0,0,NONE,0,2019-06-14T16:58:22.834860
-2452.0,9634.0,3403.0,-3614.0,-5016.0,-6356.0,-939.0,0,0,0,NONE,0,2019-06-14T16:58:23.381024
-2417.0,9639.0,3367.0,-3590.0,-5198.0,-6373.0,-849.0,0,0,0,NONE,0,2019-06-14T16:58:23.972502
-2372.0,9681.0,3295.0,-3555.0,-5184.0,-6321.0,-819.0,0,0,0,NONE,0,2019-06-14T16:58:24.516409
-2351.0,9735.0,3319.0,-3596.0,-5296.0,-6253.0,-830.0,0,0,0,NONE,0,2019-06-14T16:58:25.109284
-2353.0,9802.0,3221.0,-3632.0,-5312.0,-6364.0,-854.0,0,0,0,NONE,0,2019-06-14T16:58:25.652274
-2311.0,9756.0,3220.0,-3530.0,-5464.0,-6385.0,-785.0,0,0,0,NONE,0,2019-06-14T16:58:26.246271
-2222.0,9765.0,3185.0,-3542.0,-5473.0,-6517.0,-799.0,0,0,0,NONE,0,2019-06-14T16:58:26.788516
-2224.0,9888.0,3146.0,-3557.0,-5587.0,-6508.0,-731.0,0,0,0,NONE,0,2019-06-14T16:58:27.383253
-2161.0,9904.0,3124.0,-3518.0,-5571.0,-6503.0,-721.0,0,0,0,NONE,0,2019-06-14T16:58:27.924650
-2162.0,9947.0,3144.0,-3472.0,-5755.0,-6496.0,-757.0,0,0,0,NONE,0,2019-06-14T16:58:28.520454
-2124.0,9889.0,3085.0,-3575.0,-5761.0,-6486.0,-654.0,0,0,0,NONE,0,2019-06-14T16:58:29.060948
-2038.0,9984.0,3119.0,-3624.0,-5817.0,-6522.0,-723.0,0,0,0,NONE,0,2019-06-14T16:58:29.657480
-2006.0,10014.0,3097.0,-3561.0,-5843.0,-6456.0,-720.0,0,0,0,NONE,0,2019-06-14T16:58:30.197570
-2001.0,10049.0,3100.0,-3624.0,-5908.0,-6509.0,-643.0,0,0,0,NONE,0,2019-06-14T16:58:30.794111
-1968.0,10067.0,3090.0,-3632.0,-6035.0,-6468.0,-753.0,0,0,0,NONE,0,2019-06-14T16:58:31.333991
