seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-669.0,-875.0,3861.0,3154.0,-62.0,-1086.0,6286.0,0,0,0,NONE,0,2019-06-14T11:57:21.289059
-660.0,-946.0,3860.0,3164.0,-43.0,-1013.0,6224.0,0,0,0,NONE,0,2019-06-14T11:57:21.855611
-677.0,-914.0,3880.0,3116.0,-83.0,-998.0,6194.0,0,0,0,NONE,0,2019-06-14T11:57:22.423094
-737.0,-978.0,3884.0,3145.0,6.0,-1014.0,6236.0,0,0,0,NONE,0,2019-06-14T11:57:22.990367
-762.0,-988.0,3937.0,3088.0,78.0,-1039.0,6208.0,0,0,0,NONE,0,2019-06-14T11:57:23.558196
-761.0,-941.0,3868.0,3058.0,66.0,-989.0,6220.0,0,0,0,NONE,0,2019-06-14T11:57:24.126445
-710.0,-1008.0,3826.0,3139.0,148.0,-990.0,6259.0,0,0,0,NONE,0,2019-06-14T11:57:24.692376
-760.0,-990.0,3886.0,3083.0,166.0,-956.0,6187.0,0,0,0,NONE,0,2019-06-14T11:57:25.263263
-780.0,-987.0,3894.0,3064.0,195.0,-933.0,6193.0,0,0,0,NONE,0,2019-06-14T11:57:25.828301
-809.0,-971.0,3873.0,3069.0,298.0,-958.0,6168.0,0,0,0,NONE,0,2019-06-14T11:57:26.398513
-789.0,-1001.0,3889.0,3064.0,245.0,-967.0,6123.0,0,0,0,NONE,0,2019-06-14T11:57:26.961673
-795.0,-1051.0,3876.0,2994.0,255.0,-955.0,6122.0,0,0,0,NONE,0,2019-06-14T11:57:27.534519
-869.0,-1065.0,3913.0,3062.0,281.0,-961.0,6112.0,0,0,0,NONE,0,2019-06-14T11:57:28.096761
-849.0,-1041.0,3884.0,3013.0,337.0,-903.0,6084.0,0,0,0,NONE,0,2019-06-14T11:57:28.670530
-848.0,-1035.0,3859.0,3032.0,373.0,-889.0,6103.0,0,0,0,NONE,0,2019-06-14T11:57:29.231069
-837.0,-1079.0,3862.0,3034.0,485.0,-883.0,6102.0,0,0,0,NONE,0,2019-06-14T11:57:29.806460
-910.0,-1125.0,3904.0,3017.0,408.0,-884.0,6111.0,0,0,0,NONE,0,2019-06-14T11:57:30.365885
-951.0,-1104.0,3851.0,2967.0,459.0,-851.0,6011.0,0,0,0,NONE,0,2019-06-14T11:57:30.942471
-954.0,-1122.0,3878.0,3031.0,455.0,-800.0,6064.0,0,0,0,NONE,0,2019-06-14T11:57:31.501033
-958.0,-1084.0,3855.0,3028.0,572.0,-888.0,6084.0,0,0,0,NONE,0,2019-06-14T11:57:32.078257
