seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-307.0,2885.0,-1320.0,296.0,-2553.0,-4548.0,2493.0,0,0,0,NONE,0,2019-06-14T13:03:23.284613
-338.0,2937.0,-1308.0,299.0,-2527.0,-4584.0,2522.0,0,0,0,NONE,0,2019-06-14T13:03:23.870789
-307.0,2863.0,-1366.0,346.0,-2542.0,-4555.0,2580.0,0,0,0,NONE,0,2019-06-14T13:03:24.420001
-348.0,2956.0,-1357.0,365.0,-2641.0,-4526.0,2580.0,0,0,0,NONE,0,2019-06-14T13:03:25.006820
-340.0,2954.0,-1341.0,367.0,-2670.0,-4523.0,2641.0,0,0,0,NONE,0,2019-06-14T13:03:25.555117
-350.0,3069.0,-1394.0,429.0,-2738.0,-4571.0,2645.0,0,0,0,NONE,0,2019-06-14T13:03:26.142987
-329.0,3067.0,-1439.0,410.0,-2732.0,-4507.0,2738.0,0,0,0,NONE,0,2019-06-14T13:03:26.690387
-336.0,3107.0,-1437.0,448.0,-2771.0,-4549.0,2678.0,0,0,0,NONE,0,2019-06-14T13:03:27.279141
-330.0,3105.0,-1459.0,414.0,-2776.0,-4589.0,2722.0,0,0,0,NONE,0,2019-06-14T13:03:27.825274
-317.0,3098.0,-1467.0,435.0,-2812.0,-4537.0,2753.0,0,0,0,NONE,0,2019-06-14T13:03:28.415296
-353.0,3144.0,-1523.0,460.0,-2837.0,-4496.0,2716.0,0,0,0,NONE,0,2019-06-14T13:03:28.960421
-303.0,3168.0,-1548.0,498.0,-2830.0,-4487.0,2768.0,0,0,0,NONE,0,2019-06-14T13:03:29.551364
-275.0,3188.0,-1621.0,472.0,-2902.0,-4460.0,2770.0,0,0,0,NONE,0,2019-06-14T13:03:30.095323
-277.0,3226.0,-1594.0,482.0,-2859.0,-4470.0,2778.0,0,0,0,NONE,0,2019-06-14T13:03:30.687554
-292.0,3255.0,-1569.0,486.0,-2912.0,-4472.0,2823.0,0,0,0,NONE,0,2019-06-14T13:03:31.230593
-270.0,3281.0,-1591.0,515.0,-2969.0,-4506.0,2844.0,0,0,0,NONE,0,2019-06-14T13:03:31.823689
-243.0,3317.0,-1615.0,569.0,-2916.0,-4476.0,2820.0,0,0,0,NONE,0,2019-06-14T13:03:32.365741
-235.0,3284.0,-1578.0,585.0,-2994.0,-4542.0,2831.0,0,0,0,NONE,0,2019-06-14T13:03:32.959978
-208.0,3352.0,-1585.0,579.0,-3031.0,-4548.0,2854.0,0,0,0,NONE,0,2019-06-14T13:03:33.500813
-179.0,3373.0,-1696.0,575.0,-3052.0,-4535.0,2839.0,0,0,0,NONE,0,2019-06-14T13:03:34.095729
