seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1779.0,5130.0,5996.0,-1882.0,1160.0,-1038.0,-3509.0,0,0,0,NONE,0,2019-06-14T15:52:40.678708
-1763.0,5078.0,6024.0,-1900.0,1102.0,-968.0,-3483.0,0,0,0,NONE,0,2019-06-14T15:52:41.268312
-1752.0,5086.0,5932.0,-1934.0,1101.0,-1029.0,-3510.0,0,0,0,NONE,0,2019-06-14T15:52:41.815351
-1744.0,5063.0,5991.0,-1876.0,1150.0,-1050.0,-3484.0,0,0,0,NONE,0,2019-06-14T15:52:42.405132
-1732.0,5099.0,5973.0,-1886.0,1144.0,-1058.0,-3522.0,0,0,0,NONE,0,2019-06-14T15:52:42.952340
-1775.0,5091.0,6006.0,-1899.0,1108.0,-1051.0,-3565.0,0,0,0,NONE,0,2019-06-14T15:52:43.541955
-1792.0,5052.0,6009.0,-1923.0,1134.0,-965.0,-3493.0,0,0,0,NONE,0,2019-06-14T15:52:44.087641
-1777.0,5113.0,5981.0,-1915.0,1133.0,-1009.0,-3557.0,0,0,0,NONE,0,2019-06-14T15:52:44.678927
-1749.0,5066.0,5985.0,-1904.0,1109.0,-1036.0,-3537.0,0,0,0,NONE,0,2019-06-14T15:52:45.224137
-1775.0,5070.0,5993.0,-1906.0,1089.0,-1012.0,-3572.0,0,0,0,NONE,0,2019-06-14T15:52:45.816093
-1748.0,5048.0,6040.0,-1954.0,1163.0,-1004.0,-3594.0,0,0,0,NONE,0,2019-06-14T15:52:46.359385
-1725.0,5092.0,5974.0,-1906.0,1107.0,-1015.0,-3581.0,0,0,0,NONE,0,2019-06-14T15:52:46.953292
-1733.0,5068.0,5904.0,-1868.0,1180.0,-1026.0,-3634.0,0,0,0,NONE,0,2019-06-14T15:52:47.495646
-1714.0,5072.0,5976.0,-1895.0,1066.0,-978.0,-3665.0,0,0,0,NONE,0,2019-06-14T15:52:48.089857
-1743.0,5055.0,5993.0,-1933.0,1128.0,-1004.0,-3645.0,0,0,0,NONE,0,2019-06-14T15:52:48.632169
-1714.0,5065.0,6077.0,-1925.0,1157.0,-1059.0,-3670.0,0,0,0,NONE,0,2019-06-14T15:52:49.226582
-1701.0,5059.0,5981.0,-1921.0,1111.0,-976.0,-3637.0,0,0,0,NONE,0,2019-06-14T15:52:49.767234
-1750.0,5078.0,6002.0,-1901.0,1149.0,-1042.0,-3651.0,0,0,0,NONE,0,2019-06-14T15:52:50.364717
-1775.0,5113.0,6061.0,-1913.0,1151.0,-1042.0,-3683.0,0,0,0,NONE,0,2019-06-14T15:52:50.903134
-1716.0,5065.0,6001.0,-1908.0,1096.0,-1041.0,-3667.0,0,0,0,NONE,0,2019-06-14T15:52:51.500826
