seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1910.0,9320.0,2183.0,-2366.0,-6899.0,-4628.0,-1002.0,0,0,0,NONE,0,2019-06-14T16:32:19.532974
-1963.0,9324.0,2149.0,-2426.0,-6991.0,-4571.0,-991.0,0,0,0,NONE,0,2019-06-14T16:32:20.098265
-1863.0,9342.0,2140.0,-2406.0,-6960.0,-4580.0,-950.0,0,0,0,NONE,0,2019-06-14T16:32:20.670589
-1823.0,9412.0,2131.0,-2410.0,-7033.0,-4521.0,-956.0,0,0,0,NONE,0,2019-06-14T16:32:21.233397
-1877.0,9442.0,2087.0,-2410.0,-7118.0,-4573.0,-934.0,0,0,0,NONE,0,2019-06-14T16:32:21.807214
-1870.0,9453.0,2139.0,-2433.0,-7111.0,-4549.0,-964.0,0,0,0,NONE,0,2019-06-14T16:32:22.368425
-1829.0,9494.0,2170.0,-2453.0,-7166.0,-4583.0,-915.0,0,0,0,NONE,0,2019-06-14T16:32:22.944518
-1887.0,9512.0,2106.0,-2469.0,-7150.0,-4554.0,-885.0,0,0,0,NONE,0,2019-06-14T16:32:23.503210
-1892.0,9493.0,2117.0,-2411.0,-7253.0,-4568.0,-883.0,0,0,0,NONE,0,2019-06-14T16:32:24.081734
-1852.0,9535.0,2097.0,-2375.0,-7353.0,-4507.0,-879.0,0,0,0,NONE,0,2019-06-14T16:32:24.636890
-1861.0,9601.0,2143.0,-2393.0,-7373.0,-4563.0,-858.0,0,0,0,NONE,0,2019-06-14T16:32:25.218620
-1880.0,9567.0,2097.0,-2380.0,-7452.0,-4562.0,-909.0,0,0,0,NONE,0,2019-06-14T16:32:25.772147
-1877.0,9631.0,2132.0,-2413.0,-7475.0,-4551.0,-856.0,0,0,0,NONE,0,2019-06-14T16:32:26.355664
-1856.0,9646.0,2016.0,-2346.0,-7482.0,-4605.0,-791.0,0,0,0,NONE,0,2019-06-14T16:32:26.906334
-1874.0,9710.0,2049.0,-2282.0,-7575.0,-4593.0,-759.0,0,0,0,NONE,0,2019-06-14T16:32:27.492403
-1875.0,9739.0,2029.0,-2316.0,-7629.0,-4627.0,-755.0,0,0,0,NONE,0,2019-06-14T16:32:28.041861
-1855.0,9758.0,1982.0,-2278.0,-7591.0,-4574.0,-693.0,0,0,0,NONE,0,2019-06-14T16:32:28.629735
-1859.0,9756.0,1980.0,-2299.0,-7739.0,-4554.0,-719.0,0,0,0,NONE,0,2019-06-14T16:32:29.176854
-1816.0,9837.0,1944.0,-2254.0,-7776.0,-4537.0,-702.0,0,0,0,NONE,0,2019-06-14T16:32:29.766886
-1830.0,9786.0,1883.0,-2349.0,-7832.0,-4424.0,-690.0,0,0,0,NONE,0,2019-06-14T16:32:30.310800
