seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
504.0,4959.0,5061.0,-3192.0,-807.0,5140.0,-728.0,0,0,0,NONE,0,2019-06-14T15:13:38.827157
488.0,4894.0,5047.0,-3223.0,-855.0,5218.0,-740.0,0,0,0,NONE,0,2019-06-14T15:13:39.395609
379.0,5010.0,5147.0,-3185.0,-875.0,5227.0,-753.0,0,0,0,NONE,0,2019-06-14T15:13:39.962851
334.0,4903.0,5083.0,-3148.0,-715.0,5222.0,-765.0,0,0,0,NONE,0,2019-06-14T15:13:40.529992
338.0,4935.0,5014.0,-3135.0,-696.0,5367.0,-862.0,0,0,0,NONE,0,2019-06-14T15:13:41.098187
311.0,4925.0,5052.0,-3119.0,-631.0,5351.0,-904.0,0,0,0,NONE,0,2019-06-14T15:13:41.666051
318.0,4968.0,5039.0,-3080.0,-501.0,5362.0,-884.0,0,0,0,NONE,0,2019-06-14T15:13:42.233690
262.0,4936.0,5034.0,-3140.0,-479.0,5426.0,-913.0,0,0,0,NONE,0,2019-06-14T15:13:42.801618
293.0,4947.0,5003.0,-3169.0,-485.0,5479.0,-936.0,0,0,0,NONE,0,2019-06-14T15:13:43.369538
202.0,4957.0,4988.0,-3068.0,-388.0,5464.0,-964.0,0,0,0,NONE,0,2019-06-14T15:13:43.936055
205.0,4927.0,5016.0,-3042.0,-304.0,5573.0,-962.0,0,0,0,NONE,0,2019-06-14T15:13:44.505608
253.0,4953.0,5018.0,-3026.0,-346.0,5617.0,-1003.0,0,0,0,NONE,0,2019-06-14T15:13:45.071613
127.0,4988.0,5001.0,-3070.0,-191.0,5684.0,-1012.0,0,0,0,NONE,0,2019-06-14T15:13:45.641528
135.0,4954.0,4961.0,-3073.0,-126.0,5713.0,-1018.0,0,0,0,NONE,0,2019-06-14T15:13:46.209065
3.0,4858.0,4933.0,-3002.0,-76.0,5793.0,-1065.0,0,0,0,NONE,0,2019-06-14T15:13:46.778029
107.0,4931.0,4930.0,-3078.0,-15.0,5807.0,-1116.0,0,0,0,NONE,0,2019-06-14T15:13:47.343540
48.0,4818.0,4947.0,-3074.0,-81.0,5797.0,-1137.0,0,0,0,NONE,0,2019-06-14T15:13:47.913737
116.0,4841.0,4981.0,-3033.0,41.0,5819.0,-1093.0,0,0,0,NONE,0,2019-06-14T15:13:48.477265
45.0,4839.0,4987.0,-3025.0,73.0,5871.0,-1188.0,0,0,0,NONE,0,2019-06-14T15:13:49.050308
47.0,4848.0,4958.0,-3013.0,121.0,5960.0,-1214.0,0,0,0,NONE,0,2019-06-14T15:13:49.612784
